"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Family","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Texting, calling or video-calling family members or friends","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010100","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Therapist","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Talking to therapist","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010200","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Exercise","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Exercising/walking","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010300","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Cooking","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Cooking/baking","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010400","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Crafts","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Arts and crafts project","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010500","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Chores","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Cleaning/doing household chores","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010600","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Games_Family","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Playing games with family members","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010700","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Games_Online","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Playing online games","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010800","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Virtual_Entertainment","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Virtual entertainment (concerts, live shows, sports, museums, etc.)","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501010900","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Other","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Other","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501011001","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Other_Specify","Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? If other, please specify","DCW_960501.doc","string","","","","","ASK IF 'Which of the following strategies [have been/were] helpful to YOU during the COVID-19 outbreak? Other' != 'Not at all/I didn't try this'","","PhenX","PX960501011002","","","","","","","","","","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Outbreak_Positive_Impact","Overall, do you think the COVID-19 outbreak has had a positive impact on your life?","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501020000","","","","","No positive impact","Small positive impact","Moderate/medium positive impact","Large positive impact","","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Child_Family","Which of the following strategies [have been/were] helpful to YOUR CHILD while staying at home because of the COVID-19 outbreak? Texting, calling or video-calling family members or friends","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501030100","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Child_Virtual_School","Which of the following strategies [have been/were] helpful to YOUR CHILD while staying at home because of the COVID-19 outbreak? Virtual learning/school","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501030200","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Child_Therapist","Which of the following strategies [have been/were] helpful to YOUR CHILD while staying at home because of the COVID-19 outbreak? Talking to therapist","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501030300","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Child_Exercise","Which of the following strategies [have been/were] helpful to YOUR CHILD while staying at home because of the COVID-19 outbreak? Exercising/walking","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501030400","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
"PX960501_Coping_Covid19_Helpful_Strategies_Outbreak_Child_Cooking","Which of the following strategies [have been/were] helpful to YOUR CHILD while staying at home because of the COVID-19 outbreak? Cooking/baking","DCW_960501.doc","enumerated","","","","","","","PhenX","PX960501030500","","","","","Not at all/I didn't try this","Slightly","Somewhat","Moderately","Very much","","","","","","","","","","","",""
