VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_Gender_5,Male or female pictures presented/chosen for the age of 5.,DCW_020401.doc,encoded values,,,,,"This should record the sex of the pictures presented by the interviewer or chosen by the participant for the given age. While they'd usually be the same, a transgender person may not choose from the same set of pictures at every age, or it may not match with current gender.",,PhenX,PX020401010100,,,,,1 = Male,2 = Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_5,Choose the picture that most closely resembles your (or your child's) body shape at the age of 5.,DCW_020401.doc,enumerated,,,,,The child pictures should be used for ages 5 & 10 and the adult pictures for ages 20 or older.,,PhenX,PX020401010200,,,,,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,9.9 = N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_5_Scale,Scale Used for Child Body Image.,DCW_020401.doc,enumerated,,,,,,,PhenX,PX020401010300,,,,,Collins Child Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_Gender_10,Male or female pictures presented/chosen for the age of 10.,DCW_020401.doc,encoded values,,,,,"This should record the sex of the pictures presented by the interviewer or chosen by the participant for the given age. While they'd usually be the same, a transgender person may not choose from the same set of pictures at every age, or it may not match with current gender.",,PhenX,PX020401020100,,,,,1 = Male,2 = Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_10,Choose the picture that most closely resembles your (or your child's) body shape at the age of 10.,DCW_020401.doc,enumerated,,,,,The child pictures should be used for ages 5 & 10 and the adult pictures for ages 20 or older.,,PhenX,PX020401020200,,,,,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,9.9 = N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_10_Scale,Scale Used for Child Body Image.,DCW_020401.doc,enumerated,,,,,,,PhenX,PX020401020300,,,,,Collins Child Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_Gender_20,Male or female pictures presented/chosen for the age of 20.,DCW_020401.doc,encoded values,,,,,"This should record the sex of the pictures presented by the interviewer or chosen by the participant for the given age. While they'd usually be the same, a transgender person may not choose from the same set of pictures at every age, or it may not match with current gender.",,PhenX,PX020401030100,,,,,1 = Male,2 = Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_20,Choose the picture that most closely resembles your body shape at the age of 20.,DCW_020401.doc,enumerated,,,,,The child pictures should be used for ages 5 & 10 and the adult pictures for ages 20 or older.,,PhenX,PX020401030200,,,,,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.9 = N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_20_Scale,Scale Used for Adult Body Image.,DCW_020401.doc,encoded values,,,,,,,PhenX,PX020401030300,,,,,1 = Collins Adult Scale,2 = Stunkard Adult Scale,3 = Pulvers African American Scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_Gender_30,Male or female pictures presented/chosen for the age of 30.,DCW_020401.doc,encoded values,,,,,"This should record the sex of the pictures presented by the interviewer or chosen by the participant for the given age. While they'd usually be the same, a transgender person may not choose from the same set of pictures at every age, or it may not match with current gender.",,PhenX,PX020401040100,,,,,1 = Male,2 = Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX020401_Body_Image_30,Choose the picture that most closely resembles your body shape at the age of 30.,DCW_020401.doc,enumerated,,,,,The child pictures should be used for ages 5 & 10 and the adult pictures for ages 20 or older.,,PhenX,PX020401040200,,,,,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.9 = N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
