VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Remove_Interference,"Have you removed anything that might interfere with headphones, such as but no limited to glasses, gum, earrings?",DCW_200102.doc,enumerated,,,,,,,PhenX,PX200102010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Hearing_Aids,Do you use hearing aids?,DCW_200102.doc,enumerated,,,,,,,PhenX,PX200102020100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Hearing_Aids_Removal,Have you removed your hearing aids?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.1 = Yes,,PhenX,PX200102020200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Hearing_Aids_Removal_Ability,Are you able to remove your hearing aids?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No,,PhenX,PX200102020300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Ear_Tubes,Do you have tubes in either ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.3 = Yes,,PhenX,PX200102030100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Cold_Earache,Do you have a cold or earache?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102030200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Loud_Noise_Past_Day,Have you been exposed to loud noise in the last 24 hours?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102030300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Hear_Better_Ear,Do you hear better in one ear or the other?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102030400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Outer_Ear_Abnormalities,Are there any abnormalities visible in the outer ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Outer_Ear_Excessive_Ear_Wax,Is there a presence of excessive ear wax in the outer ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Outer_Ear_Foreign_Bodies,Is there a presence of foreign bodies in the outer ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Outer_Ear_Pressure_Equalization_Tubes,Is there a presence of PE (pressure equalization) tubes in the outer ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Perforation_Inflation_Ear_Drum,Is there a presence of perforation or inflation of the ear drum?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040500,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Collapsed_Ear_Canal,Has the ear canal collapsed?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102040600,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Size_Direction_Ear_Canal_Seal,Has the size and direction of the ear canal been used to properly select the cuff to seal the ear canal?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102050100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Tympanometry_Probe_Seal,Is an airtight seal achieved after placing the tympanometry probe in the examinee's ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102050200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Tympanogram_Results,Is the resulting tympanogram flat or are the results inconclusive?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102050300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Standard_Insert_Headphones,Was a pair of standard headphone or insert headphones (if there are collapsed ear canalds) fitted over the examinee's ears?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102050400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Examinee_Seated,Is the examinee seated?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102050500,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Automated_Protocol,Was an automated protocol using a pure tone audiometry test performed?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102060000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Examinee_Operate_Response_Switch,Was the examinee unable to operate the response switch?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102070100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Examinee_Pace,Was the examinee unable to 'keep up with' the automated test?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102070200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Examinee_False_Positives,Did the examinee record three false positives?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102070300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Examinee_Threshold_100_Decibels,Was the examinee's threshold over 100 decibels (dB)?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102070400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Headphones_Describe,Which headphones were used?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080100,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Ear_Tested_First,Which ear was tested first?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Performed_Manually,Was the test performed manually?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_200_Hertz,What was the threshold (in decibels) at 250 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_500_Hertz,What was the threshold (in decibels) at 500 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_1000_Hertz,What was the threshold (in decibels) at 1000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_2000_Hertz,What was the threshold (in decibels) at 2000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_4000_Hertz,What was the threshold (in decibels) at 4000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_8000_Hertz,What was the threshold (in decibels) at 8000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_Octave_Difference,Was there a difference of more than 15 decibels in threshold from octave to octave for the left ear?,DCW_200102.doc,enumerated,,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080500,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_3000_Hertz,What was the threshold (in decibels) at 3000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q8.5 = Yes,,PhenX,PX200102080601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Left_Ear_Threshold_6000_Hertz,What was the threshold (in decibels) at 6000 hertz for the left ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q8.5 = Yes,,PhenX,PX200102080602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Right_Ear_Threshold_200_Hertz,What was the threshold (in decibels) at 250 hertz for the right ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Right_Ear_Threshold_500_Hertz,What was the threshold (in decibels) at 500 hertz for the right ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX200102_Audiogram_Hearing_Test_Right_Ear_Threshold_1000_Hertz,What was the threshold (in decibels) at 1000 hertz for the right ear?,DCW_200102.doc,numeric,decibels,,,,ASK IF Q2.2 = No or Q2.3 = Yes,,PhenX,PX200102080703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
