VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Sex,"After a few drinks of alcohol, I would be more likely to enjoy sex more.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406010000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Courage,"After a few drinks of alcohol, I would be more likely to be courageous.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406020000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Calm,"After a few drinks of alcohol, I would be more likely to feel calm.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406030000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Lover,"After a few drinks of alcohol, I would be more likely to be a better lover.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406040000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Sociable,"After a few drinks of alcohol, I would be more likely to act sociable.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406050000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Converse,"After a few drinks of alcohol, I would be more likely to talk to people more easily.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406060000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Peaceful,"After a few drinks of alcohol, I would be more likely to feel peaceful.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406070000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Brave,"After a few drinks of alcohol, I would be more likely to be brave and daring.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406080000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Risks,"After a few drinks of alcohol, I would be more likely to take risks.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406090000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Dizzy,"After a few drinks of alcohol, I would be more likely to feel dizzy.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406100000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Moody,"After a few drinks of alcohol, I would be more likely to feel moody.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406110000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Clumsy,"After a few drinks of alcohol, I would be more likely to clumsy.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406120000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Loud,"After a few drinks of alcohol, I would be more likely to be loud, boisterous, or noisy.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406130000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_Aggressive,"After a few drinks of alcohol, I would be more likely to act aggressively.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406140000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
PX520406_Expectancies_Alcohol_FeelGuilty,"After a few drinks of alcohol, I would be more likely to feel guilty.",DCW_520406.doc,encoded values,,,,,,,PhenX,PX520406150000,,,,,1 = Disagree,2 = Slightly Disagree,3 = Slightly Agree,4 = Agree,,,,,,,,,,,
