"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX290101_Air_Quality_Index_Days_AQI","# Days with AQI - Number of days in the year having an Air Quality Index value. This is the number of days on which measurements from any monitoring site in the county or MSA were reported to the Air Quality System (AQS) database.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101010000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_AQI_Good","# Days Good - Number of days in the year having an AQI value 0 through 50.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101020000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_AQI_Moderate","# Days Moderate - Number of days in the year having an AQI value 51 through 100.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101030000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_AQI_Unhealthy_Sensitive_Groups","# Days Unhealthy for Sensitive Groups - Number of days in the year having an AQI value 101 through 150.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101040000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_AQI_Unhealthy","# Days Unhealthy - Number of days in the year having an AQI value 151 through 200.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101050000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_AQI_Very_Unhealthy","# Days Very Unhealthy - Number of days in the year having an AQI value 201 or higher. This includes the AQI categories very unhealthy and hazardous. Very few locations (about 0.3% of counties) have any days in the very unhealthy or hazardous categories.","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101060000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_AQI_Max_Value","AQI Max - The highest daily AQI value in the year.","DCW_290101.doc","integer","","","","","","","PhenX","PX290101070000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_AQI_90_Percentile_Value","AQI 90th %ile - 90 percent of daily AQI values during the year were less than or equal to the 90th percentile value.","DCW_290101.doc","integer","","","","","","","PhenX","PX290101080000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_AQI_Median_Value","AQI Median - Half of daily AQI values during the year were less than or equal to the median value, and half equaled or exceeded it.","DCW_290101.doc","integer","","","","","","","PhenX","PX290101090000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_CO","# Days CO","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_NO2","# Days NO2","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101110000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_O3","# Days O3","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101120000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_SO2","# Days SO2","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101130000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_PM2","# Days PM2.5","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101140000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290101_Air_Quality_Index_Days_PM10","# Days PM10","DCW_290101.doc","integer","days","","","","","","PhenX","PX290101150000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
