VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center,"Does CHILD spend any time in any (other) child care center, preschool, Head Start, or pre-kindergarten program for 4 or more hours each week? ",DCW_300301.doc,encoded values,,,,,,,PhenX,PX300301010100,,,,,0 = No (Go to Section B),"1 = Yes (if Yes, complete grid using prompts below)",,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Name_Type,What program is this? (name and type of program),DCW_300301.doc,encoded values,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010200,,,,,1 = child's home,2 = Someone else's home,3 = center care or educational setting,4 = other,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Hours,How many hours per week (is child cared for in this arrangement/does CHILD go to school?,DCW_300301.doc,integer,hours,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010300,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Parent_Presence,Are you regularly present during any of this time?,DCW_300301.doc,encoded values,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010401,,,,,00 = No,01 = Yes,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Parent_Presence_Hours,"If yes, how many hours a week are you present?",DCW_300301.doc,integer,hours,,,,ASK IF Q1.4.1=01,,PhenX,PX300301010402,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Primary_Caregiver,Is the primary (caregiver/teacher) related to CHILD?,DCW_300301.doc,encoded values,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010501,,,,,00 = No,01 = Yes,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Primary_Caregiver_Related,"If yes, how are they related?",DCW_300301.doc,encoded values,,,,,ASK IF Q1.5.1=01,,PhenX,PX300301010502,,,,,0 = mother,1 = Mother's husband/partner,2 = Child's sib under 18,3 = Other child under 18,4 = Child's grandparent,5 = Other adult relative,7 = Unrelated adult,8 = Other,9 = Biological father (not mother's husb/part),,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Primary_Caregiver_Related_Other,"If yes, how are they related? Other (specify):",DCW_300301.doc,string,,,,,ASK IF Q1.5.2=8,,PhenX,PX300301010503,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Child_Age,How old in months was CHILD when (CHILD started this arrangement/CHILD started going to NAME OF PROGRAM) for 4 or more hours per week?,DCW_300301.doc,integer,months,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010600,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Children,"How many children, including your own are usually present at any one time in CHILD's (classroom/group) while CHILD is there? ",DCW_300301.doc,integer,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010700,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Adults,How many teachers and aids usually supervise the children at any one time while CHILD is in the (Classroom/group)?,DCW_300301.doc,integer,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010800,,,,,,,,,,,,,,,
PX300301_Child_Care_Quality_Educational_Settings_Other_Program_Center_Time,"What times of day (is CHILD cared for in this arrangement/does CHILD go to school): days, evenings, or nights? Mark all that apply. ",DCW_300301.doc,encoded values,,,,,ASK IF Q1.1=Yes,,PhenX,PX300301010900,,,,,1 = Days (7am-7pm),2 = Evenings (7pm-12midnight),3 = Nights (12 midnight -7am),,,,,,,,
