VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX290601_Employment_Selected_Characteristics_All_Total_Employed,Labor force statistics for selected characteristics for all ages. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010101,,,,,
PX290601_Employment_Selected_Characteristics_All_Members_Unions_Total,Labor force statistics for selected characteristics for all ages. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010102,,,,,
PX290601_Employment_Selected_Characteristics_All_Members_Unions_Percent_Employed,Labor force statistics for selected characteristics for all ages. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010103,,,,,
PX290601_Employment_Selected_Characteristics_All_Represented_Unions_Total,Labor force statistics for selected characteristics for all ages. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010104,,,,,
PX290601_Employment_Selected_Characteristics_All_Represented_Unions_Percent_Employed,Labor force statistics for selected characteristics for all ages. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010105,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_Years_Over_Total_Employed,Labor force statistics for the 16 years and over age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010201,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_Years_Over_Members_Unions_Total,Labor force statistics for the 16 years and over age group. Total number of employees that are members of a union. ,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010202,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_Years_Over_Members_Unions_Percent_Employed,Labor force statistics for the 16 years and over age group. Percent of employees that are members of a union. ,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010203,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_Years_Over_Represented_Unions_Total,Labor force statistics for the 16 years and over age group. Total number of employees represented by unions.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010204,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_Years_Over_Represented_Unions_Percent_Employed,Labor force statistics for the 16 years and over age group. Percent of employees represented by unions.,DCW_290601.doc,decimal,,,,,,,PhenX,PX290601010205,,,,,
PX290601_Employment_Selected_Characteristics_Total_16_24_Total_Employed,Labor force statistics for the 16 to 24 years age group. Total number employed.,DCW_290601.doc,integer,,,,,,,PhenX,PX290601010301,,,,,
