"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850602_Recurrent_Priapism_Impact_Worry_Overall_Health","Worry about my overall health has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602010000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Distress","My distress about my priapism has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602020000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Effect_Daily_Activities","The effect of priapism on my daily activities has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602030000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Negative_Effect_Feelings","The negative effect of priapism on my feelings have been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602040000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Effect_Sexual_Satisfaction","The effect of priapism on my sexual satisfaction has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602050000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Effect_Relationship_Partner","The effect of priapism on my relationship with my partner has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602060000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Effect_Sexual_Confidence","The effect of priapism on my sexual confidence has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602070000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Trouble_Getting_Erection","Having trouble getting an erection has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602080000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Problems_Sexual_Desire","Problems with my sexual desire have been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602090000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Physical_Discomfort","Physical discomfort caused by my priapism has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602100000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Level_Pain_Penis","The level of pain in my penis caused by my priapism has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602110000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
"PX850602_Recurrent_Priapism_Impact_Abnormal_Shape_Penis","The abnormal shape of my penis caused by priapism has been","DCW_850602.doc","encoded values","","","","","","","PhenX","PX850602120000","","","","","1 = None","2 = Minimal","3 = Slight","4 = Moderate","5 = Substantial","6 = Extreme","7 = Very Extreme"
