"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX940101_Covid19_Health_Questions_Symptoms_None","We are interested in whether you have experienced any symptoms listed below since November 2019. No cold or flu symptoms","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010100","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Decreased_Appetite","We are interested in whether you have experienced any symptoms listed below since November 2019. Decrease in appetite","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010200","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Nausea","We are interested in whether you have experienced any symptoms listed below since November 2019. Nausea and/or vomiting","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010300","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Diarrhoea","We are interested in whether you have experienced any symptoms listed below since November 2019. Diarrhoea","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010400","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Stomach_Pain","We are interested in whether you have experienced any symptoms listed below since November 2019. Abdominal pain/tummy ache","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010500","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Runny_Nose","We are interested in whether you have experienced any symptoms listed below since November 2019. Runny nose","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010600","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Sneeze","We are interested in whether you have experienced any symptoms listed below since November 2019. Sneezing","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010700","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Blocked_Nose","We are interested in whether you have experienced any symptoms listed below since November 2019. Blocked nose","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010800","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Sore_Eyes","We are interested in whether you have experienced any symptoms listed below since November 2019. Sore eyes","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101010900","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Loss_Smell","We are interested in whether you have experienced any symptoms listed below since November 2019. Loss of sense of smell","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101011000","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
"PX940101_Covid19_Health_Questions_Symptoms_Loss_Taste","We are interested in whether you have experienced any symptoms listed below since November 2019. Loss of sense of taste","DCW_940101.doc","enumerated","","","","","","","PhenX","PX940101011100","","","","","19-Nov","19-Dec","20-Jan","20-Feb","20-Mar","20-Apr","Last week","","","","","","","","","",""
