VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010100,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Venous_Statsis,Were steps taken to prevent prolonged venous statsis?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010200,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Nonhemolyzed,Were nonhemolyzed samples collected?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010300,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Blood_Draw,Was the order of blood draw recorded?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010400,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Tubes,Were collection tubes filled and mixed?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010500,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Venipuncture,Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010600,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Tubes_Filled,Were the tubes filled within 11% of the fill line?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010700,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Tubes_Second,Was a second tube collected?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010800,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Tubes_Winged,Was a winged butterfly collection system used?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202010900,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Collection_Tubes_Discard,Was a discard tube drawn?,DCW_911202.doc,enumerated,,,,,ASK IF Q1.9=YES,,PhenX,PX911202011000,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Processing,Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202020100,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Processing_Sodium_Citrate,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202020200,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Processing_Refrigerated,Were samples refrigerated or stored on ice or in an ice bath?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202020300,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Processing_Transportation,Were samples transported vertically?,DCW_911202.doc,enumerated,,,,,,,PhenX,PX911202020400,,,,,Yes,No
PX911202_Factor_Eight_Population_Clotting_Extended_Sample_Processing_Agitation,Were samples agitated during transportation?,DCW_911202.doc,enumerated,,,,,ASK IF Q2.4=YES,,PhenX,PX911202020500,,,,,Yes,No
