VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_AIDS,Acquired Immunodeficiency Syndrome (AIDS) or HIV Positive,DCW_161602.doc,enumerated,,,,,,,PhenX,PX161602010200,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_AIDS_Date_Of_Onset_Month,Acquired Immunodeficiency Syndrome (AIDS) or HIV Positive Date of Onset - Month,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_AIDS_Date_Of_Onset_Day,Acquired Immunodeficiency Syndrome (AIDS) or HIV Positive Date of Onset - Day,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_AIDS_Date_Of_Onset_Year,Acquired Immunodeficiency Syndrome (AIDS) or HIV Positive Date of Onset -Year,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Arthritis,Arthritis,DCW_161602.doc,enumerated,,,,,,,PhenX,PX161602010300,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Arthritis_Date_Of_Onset_Month,Arthritis Date of Onset - Month,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Arthritis_Date_Of_Onset_Day,Arthritis Date of Onset - Day,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Arthritis_Date_Of_Onset_Year,Arthritis Date of Onset - Year,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Asthma,Asthma,DCW_161602.doc,enumerated,,,,,,,PhenX,PX161602010400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX161602_Asthma_Date_Of_Onset_Month,Asthma Date of Onset - Month,DCW_161602.doc,integer,,,,,,,PhenX,PX161602010401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
