VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Bada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010101,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Bada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010102,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Bada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Bada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010104,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Dama,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010201,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Dama,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010202,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Dama,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Dama,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010204,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Bama,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010301,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Bama,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010302,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Bama,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Bama,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010304,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Mada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010401,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Mada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010402,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Mada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Mada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010404,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Naba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010501,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Naba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010502,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Naba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Naba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010504,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Daba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010601,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Daba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010602,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Daba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Daba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010604,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Nada,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010701,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Nada,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010702,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Nada,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Nada,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010704,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Consonants_Maba,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010801,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Response_Maba,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010802,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Correct_Consonants_Maba,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901010803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Double_Number_Additions_Maba,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901010804,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Bamana,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020101,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Bamana,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020102,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Correct_Consonants_Bamana,What was the number of consonants the paticipant responded correctly? ,DCW_201901.doc,integer,,,,,,,PhenX,PX201901020103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Number_Additions_Bamana,Did the participant have added sounds to their response? ,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020104,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Consonants_Dabama,Which consonant(s) did the participant respond incorrect?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020201,,,,,/b/,/d/,/m/,/n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201901_Phonological_Awareness_Syllables_Triple_Response_Dabama,What was the participants response?,DCW_201901.doc,enumerated,,,,,,,PhenX,PX201901020202,,,,,NR - no response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
