VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Excessive_High_Pitched_AM,Do you observe the following Central Nervous System Disturbances? Crying: Excessive High Pitched (AM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701010100,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Excessive_High_Pitched_PM,Do you observe the following Central Nervous System Disturbances? Crying: Excessive High Pitched (PM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701010200,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Excessive_High_Pitched_Comments,Do you observe the following Central Nervous System Disturbances? Crying: Excessive High Pitched - Comments:,DCW_300701.doc,string,,,,,,,PhenX,PX300701010300,,,,,,,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Cont_High_Pitched_AM,Do you observe the following Central Nervous System Disturbances? Crying: Cont. High Pitched (AM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701020100,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Cont_High_Pitched_PM,Do you observe the following Central Nervous System Disturbances? Crying: Cont. High Pitched (PM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701020200,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Crying_Cont_High_Pitched_Comments,Do you observe the following Central Nervous System Disturbances? Crying: Cont. High Pitched - Comments:,DCW_300701.doc,string,,,,,,,PhenX,PX300701020300,,,,,,,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Sleep_Less_Than_1_Hours_After_Feeding_AM,Do you observe the following Central Nervous System Disturbances? Sleep < 1 Hr After Feeding (AM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701030100,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Sleep_Less_Than_1_Hours_After_Feeding_PM,Do you observe the following Central Nervous System Disturbances? Sleep < 1 Hr After Feeding (PM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701030200,,,,,Yes,No,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Sleep_Less_Than_1_Hours_After_Feeding_Comments,Do you observe the following Central Nervous System Disturbances? Sleep < 1 Hr After Feeding - Comments:,DCW_300701.doc,string,,,,,,,PhenX,PX300701030300,,,,,,,,,,,,,,,
PX300701_Neonatal_Abstinence_Syndrome_Opioid_Withdrawal_Central_Nervous_System_Disturbances_Sleep_Less_Than_2_Hours_After_Feeding_AM,Do you observe the following Central Nervous System Disturbances? Sleep < 2 Hr After Feeding (AM),DCW_300701.doc,enumerated,,,,,,,PhenX,PX300701040100,,,,,Yes,No,,,,,,,,,
