VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,
PX890601_Acute_Chest_Syndrome_Pregnancy_Past_Medical_ACS,Past Medical History: Acute chest syndrome,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601010000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Past_Medical_ACS_Hospitalization,Past Medical History: If yes: Hospitalization,DCW_890601.doc,enumerated,,,,,"IF ""Past Medical History: Acute chest syndrome"" = Yes""",,PhenX,PX890601010100,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Past_Medical_ACS_ICU,Past Medical History: If yes: ICU admission,DCW_890601.doc,enumerated,,,,,"IF ""Past Medical History: Acute chest syndrome"" = Yes""",,PhenX,PX890601010200,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Previous_Pregnancy_ACS,Previous Pregnancy: ACS requiring hospitalization,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601020000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Previous_Pregnancy_ACS_Simple_Transfusion,Previous Pregnancy: If yes: simple transfusion,DCW_890601.doc,enumerated,,,,,"IF ""Previous Pregnancy: ACS requiring hospitalization"" = Yes""",,PhenX,PX890601020100,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Previous_Pregnancy_ACS_Exchange_Transfusion,Previous Pregnancy: If yes: exchange transfusion,DCW_890601.doc,enumerated,,,,,"IF ""Previous Pregnancy: ACS requiring hospitalization"" = Yes""",,PhenX,PX890601020200,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_Hyperhemolysis,Current Pregnancy: Hyperhemolysis,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601030000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_Pneumonia,"Current Pregnancy: Pneumonia (choose only in absence of ACS; if features of ACS, choose ACS ) instead",DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601040000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS,Current Pregnancy: Acute chest syndrome,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Episode_Number,Current Pregnancy: If yes: # of distinct ACS episodes during current study pregnancy,DCW_890601.doc,integer,,,,,"IF ""Current Pregnancy: Acute chest syndrome"" = Yes""",,PhenX,PX890601050100,,,,,,,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_GA_First_Event,If yes: GA at 1st event  Gestational age in weeks with days as decimal point 12 1/7 = 12.1 12 2/7 = 12.3 12 3/7 = 12.4 12 4/7 = 12.6 12 5/7 = 12.7 12 6/7 = 12.9,DCW_890601.doc,decimal,week.days,12.1,12.9,,"IF ""Current Pregnancy: Acute chest syndrome"" = Yes""",,PhenX,PX890601050200,,,,,,,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_ICU,Current Pregnancy: If yes: ICU admission,DCW_890601.doc,enumerated,,,,,"IF ""Current Pregnancy: Acute chest syndrome"" = Yes""",,PhenX,PX890601050300,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Hospitalization,Current Pregnancy: If yes: ACS during current study pregnancy requiring hospitalization (but not ICU care),DCW_890601.doc,enumerated,,,,,"IF ""Current Pregnancy: Acute chest syndrome"" = Yes""",,PhenX,PX890601050400,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Chest_Pain,Current Pregnancy: Chest Pain,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050500,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_PAC,Current Pregnancy: Positive Auscultatory Chest signs,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050600,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Fever,Current Pregnancy: Fever (Temp > 38oC),DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050700,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Respiratory_Distress,Current Pregnancy: Signs of respiratory distress (RR > 20 per minute),DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050800,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Oxygen_Demand_Increase,Current Pregnancy: Increase in oxygen requirement/demand,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601050900,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Oxygen_SpO2_Drop,Current Pregnancy: SpO2: < 94% OR drop by 3% below baseline,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601051000,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_Current_Pregnancy_ACS_Features_Chest_Radiodensity,Current Pregnancy: New radiodensity on chest x-ray (CXR),DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601051100,,,,,Present,Absent,Unknown
PX890601_Acute_Chest_Syndrome_Pregnancy_ACS_Criteria_Fulfilled,"Acute Chest Syndrome Diagnosis: Was the criteria for diagnosis of acute chest syndrome fulfilled? Criteria for Acute Chest Syndrome: Abnormal finding on lung examination [grunting, flaring, retractions (intercostal, subcostal), audible wheezing without auscultation with stethoscope, difficulty breathing based on visually inspection, pulmonary auscultatory findings] typically evaluated without oxygen supplementation, if possible, with thepresence of at least two of the following criteria: Temperature greater than or equal to 38ºC. Increased respiratory rate greater than the 90th percentile for age. Positive chest pain or pulmonary auscultatory findings increased oxygen requirement (saturation of peripheral oxygen drop by > 3% from a documented steady-state value on room air). New radiodensity on chest roentgenogram.",DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601060000,,,,,Yes,No,
PX890601_Acute_Chest_Syndrome_Pregnancy_ACS_During_Hospitalization,Acute Chest Syndrome Diagnosis: Did the inpatient care team diagnose acute chest syndrome during hospitalization?,DCW_890601.doc,enumerated,,,,,,,PhenX,PX890601070000,,,,,Yes,No,
