VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_21Times_Ayear,Did you ever use marijuana at least 21 times in a single year?,DCW_031401.doc,encoded values,,,,,"If the respondent answered ""Yes"" to any of the drug categories asked in the Substances - Lifetime Use measure, they are then asked the series of questions.",,PhenX,PX031401010000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_30Day_Marijuana_Using_Getting_Over,"Has there ever been a period of a month or more when a great deal of your time was spent using marijuana, getting marijuana, or getting over its effects?",DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401020000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Depressed,"Because of your marijuana use, did you ever experience any of the following:  Feeling depressed or uninterested in things for more than 24 hours to the point that it interfered with your functioning?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401030100,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Trouble_Concentrating,"Because of your marijuana use, did you ever experience any of the following:  Having trouble concentrating or having such trouble thinking clearly for more than 24 hours that it interfered with your functioning?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401030200,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Paranoid,"Because of your marijuana use, did you ever experience any of the following:  Feeling paranoid or suspicious of people for more than 24 hours to the point that it interfered with your relationships?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401030300,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Decreased_Contact,"Because of your marijuana use, did you ever experience any of the following:  Decreased contact with friends or family?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401030400,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Hallucinations,"Because of your marijuana use, did you ever experience any of the following:  Hearing, seeing, or smelling things that weren't really there?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401030500,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Continue_After_Marijuana_Use_Depressed,Did you continue to use marijuana after you knew it caused this?  Feeling depressed or uninterested in things for more than 24 hours to the point that it interfered with your functioning?,DCW_031401.doc,encoded values,,,,,"CODE IN COLUMN 2.  IF YES FOR COL. 2, ITEMS 1, 2, 3, or 5, MARK TALLY SHEET A",,PhenX,PX031401030601,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Continue_After_Marijuana_Use_TroubleConcentrating,Did you continue to use marijuana after you knew it caused this?  Having trouble concentrating or having such trouble thinking clearly for more than 24 hours that it interfered with your functioning?,DCW_031401.doc,encoded values,,,,,"CODE IN COLUMN 2.  IF YES FOR COL. 2, ITEMS 1, 2, 3, or 5, MARK TALLY SHEET A",,PhenX,PX031401030602,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Continue_After_Marijuana_Use_Paranoid,Did you continue to use marijuana after you knew it caused this?  Feeling paranoid or suspicious of people for more than 24 hours to the point that it interfered with your relationships?,DCW_031401.doc,encoded values,,,,,"CODE IN COLUMN 2.  IF YES FOR COL. 2, ITEMS 1, 2, 3, or 5, MARK TALLY SHEET A",,PhenX,PX031401030603,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Continue_After_Marijuana_Use_Decreased_Contact,Did you continue to use marijuana after you knew it caused this?  Decreased contact with friends or family?,DCW_031401.doc,encoded values,,,,,"CODE IN COLUMN 2.  IF YES FOR COL. 2, ITEMS 1, 2, 3, or 5, MARK TALLY SHEET A",,PhenX,PX031401030604,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Continue_After_Marijuana_Use_Hallucinations,"Did you continue to use marijuana after you knew it caused this?  Hearing, seeing, or smelling things that weren't really there?",DCW_031401.doc,encoded values,,,,,"CODE IN COLUMN 2.  IF YES FOR COL. 2, ITEMS 1, 2, 3, or 5, MARK TALLY SHEET A",,PhenX,PX031401030605,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Often_Want_Stop,Have you often wanted to stop or cut down on marijuana?,DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401040000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Could_Not_Stop,Have you ever tried to stop or cut down on marijuana but found you couldn't?,DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401040100,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Unable_Stop_3times,Were you unable to stop or cut down 3 or more times?,DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401040200,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_More_Than_Intended,Have you often used marijuana more frequently or in larger amounts than you intended to?,DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401050000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Use_Need_More_ForEffect,"Did you ever need larger amounts of marijuana to get an effect, or did you ever find that you could no longer get high on the amount you used to use?",DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401060000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Withdrawal_Problem,"When you stopped, cut down, or went without marijuana, did you ever experience any of these following problems for most of the day for 2 days or longer?",DCW_031401.doc,encoded values,,,,,,,PhenX,PX031401070000,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX031401_Marijuana_Withdrawal_Restless,"When you stopped, cut down, or went without marijuana, did you ever experience any of these following problems for most of the day for 2 days or longer?  Did you feel nervous, tense, restless or irritable?",DCW_031401.doc,encoded values,,,,,CODE IN COLUMN 1.,,PhenX,PX031401070100,,,,,1 = NO,5 = YES,9 = DON'T KNOW / REFUSED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
