VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Cereal_Frequency,"During the past month, how often did you eat HOT OR COLD CEREALS?  *Read if necessary: Include cereals eaten at any time of the day.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601010000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Cereal_Variety,"During the past month... When you ate cereal, which kinds did you usually eat?  *Enter one or two types. Separate with a comma.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601010100,,,,,"1 = Cooked cereals (such as oatmeal, cream of wheat, grits)","2 = All bran cereals (such as All Bran, Fiber One, 100% Bran, or Bran Buds)","3 = Cereals with some bran or fiber (such as Cheerios, Raisin Bran, Shredded Wheat, Total, Wheaties, 40% Bran flakes, Granola, Grape Nuts, Muselix, etc.)","4 = Cereals with little bran or fiber (such as Corn Flakes, Honey Nut Cheerios, Froot Loops, Rice Krispies, Kix, Frosted Flakes, Special K, Cap'n Crunch, Blueberry Morning, Product 19, etc.)",5 = Other,6 = Refused,7 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Milk_Frequency,"During the past month... How often did you have MILK, either to drink or on cereal? Do NOT include small amounts of milk in coffee or tea.  *Read if necessary: Do NOT include cream or soy milk. INCLUDE skim, no-fat, low-fat, whole milk, buttermilk, and lactose-free milk. Also INCLUDE chocolate or other flavored milks.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601020000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Soda_Frequency,"During the past month, how often did you drink regular, carbonated SODA OR SOFT DRINKS that contain sugar? Do NOT include diet soda.  *Read if necessary: Do NOT include diet or sugar-free fruit drinks. Do NOT include juices or tea in cans. DO NOT include diet mineral water or diet flavored waters.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601030000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Fruit_Juice_Frequency,"During the past month, how often did you drink 100% FRUIT JUICE, such as orange, mango, apple, and grape juices? Do NOT count fruit drinks.  *Read if necessary: INCLUDE only 100% pure juices. Do NOT include fruit drinks with added sugar, like Kool-aid, Hi-C, lemonade, cranberry cocktail, Gatorade, Tampico, and Sunny Delight.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601040000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Fruit_Flavored_Drink_Frequency,"How often did you drink FRUIT-FLAVORED DRINKS with sugar (such as Kool-aid, Hi-C, lemonade, or cranberry cocktail)? Do NOT include diet drinks.  *Read if necessary: INCLUDE Gatorade and other sports drinks with added sugar. INCLUDE Tampico, Sunny Delight and Twister. Do NOT include 100% fruit juices or soda. Do NOT include yogurt drinks or carbonated water.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601050000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Fruit_Frequency,"During the past month... How often did you eat FRUIT? COUNT fresh, frozen, or canned fruit. Do NOT count juices.  *Read if necessary: Include fruits such as apples, bananas, applesauce, melon, berries, fruit salad, mangos, papayas, oranges, and grapes.",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601060000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_Salad_Frequency,"During the past month, how often did you eat a green leafy or lettuce SALAD, with or without other vegetables?  *Read if necessary: INCLUDE spinach salads",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601070000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_French_Fries_Frequency,"During the past month... How often did you eat FRENCH FRIES, home fries, or hash brown potatoes?",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601080000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX050601_White_Potato_Frequency,"During the past month... How often did you eat other WHITE POTATOES? COUNT baked potatoes, boiled potatoes, mashed potatoes and potato salad.  *Read if necessary: Do NOT include yams or sweet potatoes. INCLUDE red-skinned and Yukon Gold potatoes",DCW_050601.doc,encoded values,,,,,"These questions are about the different kinds of foods you ate or drank during the PAST MONTH, that is, the past 30 days. When answering, please include meals and snacks eaten at home, at work or school, in restaurants, and anyplace else.",,PhenX,PX050601090000,,,,,00 = Never,01 = 1-3 times last month,02 = 1-2 times per week,03 = 3-4 times per week,04 = 5-6 times per week,05 = 1 time per day,06 = 2 times per day,07 = 3 times per day,08 = 4 times per day,09 = 5 or more times per day,97 = Refused,99 = Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
