VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Commotion,There is very little commotion in our home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501010000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Find_Things,We can usually find things when we need them.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501020000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Feel_Rushed,We almost always seem to be rushed.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501030000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Engaged,We are usually able to stay on top of things.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501040000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Running_Late,"No matter how hard we try, we always seem to be running late.",DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501050000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Zoo_Home,It's a real zoo in our home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501060000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Interruption,At home we can talk to each other without being interrupted.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501070000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Fuss,There is often a fuss going on at our home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501080000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Family_Plans_Fail,"No matter what our family plans, it usually doesn't seem to work out.",DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501090000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Hear_Yourself,You can't hear yourself think in our home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501100000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Other_People_Arguments,I often get drawn into other people's arguments at home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501110000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Home_Relax,Our home is a good place to relax.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501120000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Telephone_Home,The telephone takes up a lot of our time at home.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501130000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Atmosphere_Calm,The atmosphere in our home is calm.,DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501140000,,,,,TRUE,FALSE,,,,,,,,,
PX300501_Household_Chaos_Unpredictability_Regular_Routine_Home,"First thing in the day, we have a regular routine at home.",DCW_300501.doc,enumerated,,,,,,,PhenX,PX300501150000,,,,,TRUE,FALSE,,,,,,,,,
