"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_None","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013010100","","","","","None of the below skin and allergy symptoms apply to me","","","","","","",",,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Peeling_Skin","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Peeling skin","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013010200","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Petechiae","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Petechiae (tiny purple, red, or brown spots on the skin, usually on arms, legs, stomach, buttocks, and occasionally inside mouth or on eyelids)","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030300","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_COVID_Toes","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: COVID toes (discoloration, swelling, painful, or blistering toes)","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030400","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Dermatographia","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Dermatographia (writing on your skin causes red lines where you scratched)","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030500","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_New_Allergies","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: New allergies (food, chemical, environmental, etc)","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030600","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Skin_Rashes","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Skin rashes","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030700","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Skin_Other","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Other","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013030800","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Skin_Allergy_Symptoms_Skin_Other_Specify","Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox (None of the below issues apply to me) above the grouped set.: Skin and Allergy Symptoms: Other - specify","DCW_992013.doc","string","","","","","ASK IF \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Week 1\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Week 2\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Week 3\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Week 4\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Month 2\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Month 3\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Month 4\" OR \"Did you experience these symptoms, and when did you experience them? Please mark symptoms for the first 4 weeks, then months if applicable. Even if you have only experienced these symptoms for part of a week or month, please select it. If you experienced none of the symptoms in a set, select the checkbox None of the below issues apply to me above the grouped set.: Skin and Allergy Symptoms: Other\" = \"Month 5\"","","PhenX","PX992013030801","","","","","","","","","","","",",,,,"
"PX992013_Long_COVID_Symptoms_Allergies_Other_Covid_Symptoms","Have you experienced any of these symptoms since the start of your COVID-19 illness?: (Please choose all options that apply) Skin and Allergy","DCW_992013.doc","enumerated","","","","","","","PhenX","PX992013040100","","","","","New allergies (food, chemical, environmental, etc)","Heightened reaction to old allergies","Itchy skin","Itchy eyes","Itchy other","Brittle/discolored nail","Shingles","None of the above,,,,"
