VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Ever,Have you ever had thoughts of killing yourself?,DCW_640501.doc,encoded values,,,,,,,PhenX,PX640501010100,,,,,0 = no,1 = yes,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Age_First_Time,How old were you the first time you had thoughts of killing yourself?,DCW_640501.doc,integer,years,,,,,,PhenX,PX640501010200,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Age_Last_Time,How old were you the last time?,DCW_640501.doc,integer,years,,,,,,PhenX,PX640501010300,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Days_Lifetime,How many days in your life have you had thoughts of killing yourself? (Please give your best estimate),DCW_640501.doc,integer,days,,,,,,PhenX,PX640501010400,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Days_Past_Year,How many days in the past year?,DCW_640501.doc,integer,days,,,,,,PhenX,PX640501010500,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Days_Past_Month,How many days in the past month?,DCW_640501.doc,integer,days,,,,,,PhenX,PX640501010600,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Days_Past_Week,How many days in the past week?,DCW_640501.doc,integer,days,,,,,,PhenX,PX640501010700,,,,,,,,,,,,,,,,,,,
PX640501_Suicidal_Ideation_Intensity_Worst_Point,"On this scale of 0 to 4, at the worst point how intense were your thoughts of killing yourself?",DCW_640501.doc,encoded values,,,,,,,PhenX,PX640501010800,,,,,0 = Not at all,1 = A little bit,2 = Somewhat,3 = Very Much,4 = Extremely,,,,,,,,,,
PX640501_Suicidal_Ideation_Intensity_Average,"On the scale of 0 to 4, on average, how intense were these thoughts?",DCW_640501.doc,encoded values,,,,,,,PhenX,PX640501010900,,,,,0 = Not at all,1 = A little bit,2 = Somewhat,3 = Very Much,4 = Extremely,,,,,,,,,,
PX640501_Suicidal_Ideation_Time_Thinking_About,"When you had thoughts of killing yourself, how long did they usually last?",DCW_640501.doc,encoded values,,,,,,,PhenX,PX640501011000,,,,,0 = Not at all,1 = A little bit,2 = Somewhat,3 = Very Much,4 = Extremely,,,,,,,,,,
