VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Five_Pounds_Past_Year,Have you lost 5 or more pounds at any time over the past 12 months?,DCW_251101.doc,encoded values ,,,,,,,PhenX,PX251101010100,,,,,"1 = Yes (if yes, go to 1b)",0 = No (go to question 2),8 = Don’t know (go to question 2),7 = Refused (go to question 2),,,,,,,,
PX251101_Involuntary_Weight_Loss_Past_Year_Number,"How much weight did you lose in the past 12 months? If you are not sure, please make your best guess. ___  ___  ___ pounds ",DCW_251101.doc,integer,,,,,ASK IF Q1 = 1,,PhenX,PX251101010201,,,,,,,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Past_Year,"How much weight did you lose in the past 12 months? If you are not sure, please make your best guess.",DCW_251101.doc,encoded values ,,,,,ASK IF Q1 = 1,,PhenX,PX251101010202,,,,,8 = Don’t know/don’t remember,7 = Refused,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Intentional,Were you trying to lose weight?,DCW_251101.doc,encoded values ,,,,,,,PhenX,PX251101020100,,,,,1 = Yes (go to question 2b),0 = No (go to question 3),8 = Don’t know (go to question 3),7 = Refused (go to question 3),,,,,,,,
PX251101_Involuntary_Weight_Loss_Methods,What methods did you use to lose weight?,DCW_251101.doc,encoded values ,,,,,ASK IF Q2 = 1,,PhenX,PX251101020201,,,,,(-1) = Reduced food intake (decreased quantities of all food eaten),"(-1) = Limiting your intake to only 1 or 2 types of food (e.g., ate only grapefruit or only lean meats)",(-1) = Reduced fat intake,"(-1) = Use of fat/caloric modified foods (low fat, fat-free)",(-1) = Use of a liquid diet formula such as Slim-fast or Optifast,"(-1) = Commercial weight loss program (Weight Watcher, Jenny Craig, or self-help group (Over Eaters Anonymous, TOPS)",(-1) = Decreased alcohol intake,(-1) = Increased exercise,(-1) = Increased smoking,(-1) = Diet pills (prescription or nonprescription),(-1) = Stomach surgery/intestinal bypass,(-1) = Consulted with dietician/physician/other professional
PX251101_Involuntary_Weight_Loss_Methods_Other,What methods did you use to lose weight?,DCW_251101.doc,string,,,,,ASK IF Q2 = 1,,PhenX,PX251101020202,,,,,,,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Cause,What do you think caused this weight loss? (Interviewer note: Please check all that apply),DCW_251101.doc,encoded values ,,,,,,,PhenX,PX251101030101,,,,,(-1) = Medications,(-1) = Stressful time,(-1) = Loss of appetite,(-1) = Change in eating habits,(-1) = Change in exercise habits/amount of physical activity,(-1) = Don’t know,,,,,,
PX251101_Involuntary_Weight_Loss_Cause_Illness,What do you think caused this weight loss? (Interviewer note: Please check all that apply),DCW_251101.doc,string,,,,,,,PhenX,PX251101030102,,,,,,,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Cause_Surgery,What do you think caused this weight loss? (Interviewer note: Please check all that apply),DCW_251101.doc,string,,,,,,,PhenX,PX251101030103,,,,,,,,,,,,,,,,
PX251101_Involuntary_Weight_Loss_Cause_Other,What do you think caused this weight loss? (Interviewer note: Please check all that apply),DCW_251101.doc,string,,,,,,,PhenX,PX251101030104,,,,,,,,,,,,,,,,
