"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Hallucinations_Altered_Consciousness","Do you still have the hallucinations, altered consciousness?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007010100","","","","","Yes, I still have this symptom","Yes, I still have the symptom but it is less severe","Yes, I still have the symptom but it comes and goes","No, the symptom has cleared","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Hallucinations_Normal_Activities","Does/did the hallucinations, altered consciousness affect your ability to do your normal activities?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007010200","","","","","I have/had the symptom but I can/could still do normal activities.","The symptom really bothers/bothered me. It is/was hard to do normal activities.","The symptom is/was very bad. I am/was not able to do activities that I usually do.","Refuse to answer","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Hallucinations_Clear","When did the hallucinations, altered consciousness clear?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007010300","","","","","Less than 3 months after symptom started","Between 3 to 6 months after symptom started","Between 6 to 9 months after symptom started","Greater than 9 months after symptom started","Don't know","Refuse to answer","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Difficulty_Sleeping","Do you still have difficulty sleeping?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007020100","","","","","Yes, I still have this symptom","Yes, I still have the symptom but it is less severe","Yes, I still have the symptom but it comes and goes","No, the symptom has cleared","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Difficulty_Sleeping_Normal_Activities","Does/did the difficulty sleeping affect your ability to do your normal activities?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007020200","","","","","I have/had the symptom but I can/could still do normal activities.","The symptom really bothers/bothered me. It is/was hard to do normal activities.","The symptom is/was very bad. I am/was not able to do activities that I usually do.","Refuse to answer","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Difficulty_Sleeping_Clear","When did the difficulty sleeping clear?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007020300","","","","","Less than 3 months after symptom started","Between 3 to 6 months after symptom started","Between 6 to 9 months after symptom started","Greater than 9 months after symptom started","Don't know","Refuse to answer","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Insomnia","Do you still have the insomnia (difficulty falling and staying asleep)?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007030100","","","","","Yes, I still have this symptom","Yes, I still have the symptom but it is less severe","Yes, I still have the symptom but it comes and goes","No, the symptom has cleared","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Insomnia_Normal_Activities","Does/did the insomnia (difficulty falling and staying asleep) affect your ability to do your normal activities?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007030200","","","","","I have/had the symptom but I can/could still do normal activities.","The symptom really bothers/bothered me. It is/was hard to do normal activities.","The symptom is/was very bad. I am/was not able to do activities that I usually do.","Refuse to answer","","","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Insomnia_Clear","When did the insomnia (difficulty falling and staying asleep) clear?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007030300","","","","","Less than 3 months after symptom started","Between 3 to 6 months after symptom started","Between 6 to 9 months after symptom started","Greater than 9 months after symptom started","Don't know","Refuse to answer","",""
"PX992007_Long_Covid_Symptoms_Psychiatric_Long_Hypersomnia","Do you still have the hypersomnia (excessive sleepiness or drowsiness)?","DCW_992007.doc","enumerated","","","","","","","PhenX","PX992007040100","","","","","Yes, I still have this symptom","Yes, I still have the symptom but it is less severe","Yes, I still have the symptom but it comes and goes","No, the symptom has cleared","","","",""
