"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Age_First_Time","How old were you when you FIRST used sedatives or tranquilizers?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405010100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_History","Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used sedatives or tranquilizers?' > 0","","PhenX","PX510405010200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Frequency","During the last 12 months, about how often did you use sedatives or tranquilizers?","DCW_510405.doc","string","","","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_History_Recent_Days","When was the most recent time you used sedatives or tranquilizers? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_History_Recent_Weeks","When was the most recent time you used sedatives or tranquilizers? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_History_Recent_Months","When was the most recent time you used sedatives or tranquilizers? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_History_Recent_Years","When was the most recent time you used sedatives or tranquilizers? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Highest_Frequency","Think about the time when you were using sedatives or tranquilizers the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using sedatives or tranquilizers that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405010900","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Highest_Frequency_Period_Weeks","About how long did that period last when you were using sedatives or tranquilizers that frequently? (If less than 1 week enter 1 week)","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405011000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Highest_Frequency_Period_Months","About how long did that period last when you were using sedatives or tranquilizers that frequently? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405011100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Sedatives_Use_Highest_Frequency_Period_Years","About how long did that period last when you were using sedatives or tranquilizers that frequently? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use sedatives or tranquilizers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405011200","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Age_First_Time","How old were you when you FIRST used painkillers?","DCW_510405.doc","integer","","0","99","","","","PhenX","PX510405020100","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_History","Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?","DCW_510405.doc","encoded values","","","","","ASK IF 'How old were you when you FIRST used painkillers?' > 0","","PhenX","PX510405020200","","","","","1 = Last 12 months only","2 = Prior to last 12 months only","3 = Both time periods","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Frequency","During the last 12 months, about how often did you use painkillers?","DCW_510405.doc","string","","","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020300","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_History_Recent_Days","When was the most recent time you used painkillers? Days","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020400","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_History_Recent_Weeks","When was the most recent time you used painkillers? Weeks","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020500","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_History_Recent_Months","When was the most recent time you used painkillers? Months","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020600","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_History_Recent_Years","When was the most recent time you used painkillers? Years","DCW_510405.doc","integer","","0","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020700","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Highest_Frequency","Think about the time when you were using painkillers the MOST. At that time about how often did you use (it÷them)?","DCW_510405.doc","string","","","","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020800","","","","","","","","","","","","","","","","","","","","","","","",""
"PX510405_Substance_Abuse_Dependence_Past_Year_Drugs_Painkillers_Use_Highest_Frequency_Age","About how old were you when you FIRST BEGAN using painkillers that frequently?","DCW_510405.doc","integer","","0","99","","ASK IF 'Did you use painkillers in the last 12 months only, before the last 12 months only, or during both time periods?' = 2","","PhenX","PX510405020900","","","","","","","","","","","","","","","","","","","","","","","",""
