VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Smoking_Pack_Cigarettes,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Smoking one or more packs of cigarettes per day,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010100,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Smokeless_Tobacco_Regularly,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Using smokeless tobacco regularly,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010200,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Marijuana_Trying,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Tying marijuana once or twice,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010300,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Marijuana_Occasionally,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Smoking marijuana occasionally,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010400,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Marijuana_Regularly,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Smoking marijuana regularly,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010500,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Cocaine_Once,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Trying cocaine in powder form once or twice,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010600,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Cocaine_Occasionally,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking cocaine powder occasionally,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010700,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Crack_Once,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Trying “crack” cocaine once or twice,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010800,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Crack_Occasionally,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking “crack” cocaine occasionally,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202010900,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Alcohol_Trying,"Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Trying one or two drinks of an alcoholic beverage (beer, wine, liquor)",DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011000,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Alcohol_Daily,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking one or two drinks nearly every day,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011100,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Binge_Drinking,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Having five or more drinks once or twice each weekend,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011200,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Glue_Trying,"Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Sniffing glue, gases, or sprays once or twice",DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011300,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Glue_Regularly,"Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Sniffing glue, gases, or sprays regularly",DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011400,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_LSD_Trying,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking LSD once or twice,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011500,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_LSD_Regularly,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking LSD regularly,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011600,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_MDMA_Trying,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Trying MDMA (“ecstasy”) once or twice,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011700,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_MDMA_Occasionally,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Taking MDMC (“ecstasy”) occasionally,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011800,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX550202_Disapproval_SubstanceUse_Electronic_Cigarettes_Regularly,Individuals differ in whether or not they disapprove of people doing certain things. Do YOU disapprove of people doing each of the following? Using electronic cigarettes (e-cigarettes) regularly,DCW_550202.doc,encoded values,,,,,,,PhenX,PX550202011900,,,,,1 = Don’t Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
