"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX751402_Worksite_Policies_Offered_Incentive","Has in the past 12 months, offered incentives to employees to quit tobacco use.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402010000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Offered_Help","Has in the past 12 months, offered employees who use tobacco products, a quit tobacco program or any other help to quit tobacco.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402020000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Offered_NRT","Has in the past 12 months, offered free nicotine replacement therapy (NRT) to employees who use tobacco products to help quit.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402030000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Proximity_Restriction_Policy","Has adopted a policy that restricts smoking within a certain distance from the entrance of the building.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402040000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Designated_Smoking_Location","Allows smoking outside only in certain places.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402050000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Prohibited_Outdoors","Has a policy that prohibits smoking in outdoor work areas.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402060000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Prohibited_Campus","Has adopted a policy that prohibits smoking on the whole worksite campus.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402070000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Prohibited_Agency_Vehicle","Has adopted a policy that prohibits smoking in all company or agency vehicles.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402080000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Prohibited_Chew","Has adopted a policy that prohibits the use of chewing tobacco, snuff, snus, or dip in the workplace.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402090000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751402_Worksite_Policies_Prohibited_Ecig","Has adopted a policy that prohibits the use of electronic tobacco products such as e-cigarettes in the workplace.","DCW_751402.doc","enumerated","","","","","","","PhenX","PX751402100000","","","","","Yes","No","Not Sure","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
