"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Language_Speech_Issues","Have you experienced any issues with SPEECH AND LANGUAGE since the start of your COVID-19 illness?","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005010100","","","","","Yes","No","","","","","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Language_Symptoms","Which of the following speech and language symptoms have you experienced since the start of your COVID-19 illness?","DCW_992005.doc","enumerated","","","","","ASK IF \"Have you experienced any issues with SPEECH AND LANGUAGE since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992005010201","","","","","Difficulty finding the right words while speaking/writing","Difficulty communicating verbally","Difficulty speaking in complete sentences","Speaking unrecognizable words","Difficulty communicating in writing","Difficulty processing/understanding what others say","Difficulty reading/processing written text","(If applicable) changes to your non-primary (second/third) language skills,None of the above,Other,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Language_Symptoms_Other","Which of the following speech and language symptoms have you experienced since the start of your COVID-19 illness? Other","DCW_992005.doc","string","","","","","ASK IF \"Which of the following speech and language symptoms have you experienced since the start of your COVID-19 illness? \" = \"Other\"","","PhenX","PX992005010202","","","","","","","","","","","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Experience_Symptoms","When did you experience these symptoms? Please mark symptoms for the first 4 weeks, then months (if applicable). Even if you have only experienced these symptoms for part of a week or month, please select it.","DCW_992005.doc","enumerated","","","","","ASK IF \"Have you experienced any issues with SPEECH AND LANGUAGE since the start of your COVID-19 illness?\" = \"Yes\"","","PhenX","PX992005010300","","","","","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4","Month 5,Month 6,Month 7,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Multiple_Languages","Do you speak multiple languages?","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005020100","","","","","Yes","No","","","","","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Describe_Language_Issues","Optional: Please use this space to describe examples of your language issues, including speech, writing, reading, and listening to words. Please include any changes to your speech/language that are not mentioned above. For instance, if you speak multiple languages and have noticed different problems with your primary and non-primary language.","DCW_992005.doc","string","","","","","","","PhenX","PX992005020200","","","","","","","","","","","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Ear_Hearing_Symptoms_None","Did you experience these symptoms, and when did you experience them? Ear and Hearing Symptoms: None of the below ear and hearing symptoms apply to me","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005030100","","","","","None of the below ear and hearing symptoms apply to me","","","","","","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Ear_Hearing_Symptoms_Hearing_Loss","Did you experience these symptoms, and when did you experience them? Ear and Hearing Symptoms: Hearing Loss","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005030200","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Ear_Hearing_Symptoms_Tinnitus","Did you experience these symptoms, and when did you experience them? Ear and Hearing Symptoms: Tinnitus","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005030300","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Ear_Hearing_Symptoms_Other_Ear_Hearing_Issues","Did you experience these symptoms, and when did you experience them? Ear and Hearing Symptoms: Other ear/hearing issues","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005030400","","","","","N/A","Week 1","Week 2","Week 3","Week 4","Month 2","Month 3","Month 4,Month 5,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Ear_Hearing_Symptoms_Start","Have you experienced any of these symptoms since the start of your COVID-19 illness? (Please choose all options that apply): Ear and Hearing","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005040000","","","","","Ear Pain","Changes to the ear canal (such as pressure, blockage, burning, swelling)","Numbness/loss of sensation","Sensitivity to noise","Other ear/hearing symptoms","None of the above","",",,,,"
"PX992005_Long_Covid_Symptoms_Speech_Language_Hearing_Symptom_Severity_Week_1","How severe were/are your symptoms over the course of the weeks/months? If you experienced multiple severities for symptoms within the time period, select the most severe within that time period. Week 1","DCW_992005.doc","enumerated","","","","","","","PhenX","PX992005050100","","","","","No Symptom","Very Mild","Mild","Moderate","Severe","Very Severe","",",,,,"
