VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX710302_Susceptibility_Tobacco_Friend_Cigarette,"If one of your friends offered you a cigarette, would you smoke it?",DCW_710302.doc,enumerated,,,,,,,PhenX,PX710302010000,,,,,Definitely Yes,Probably Yes,Probably Not,Definitely Not,,,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarette_Past_Year,"At any time during the next 12 months, do you think you will smoke a cigarette?",DCW_710302.doc,enumerated,,,,,,,PhenX,PX710302020000,,,,,Definitely Yes,Probably Yes,Probably Not,Definitely Not,,,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarette_Five_Years,Do you think you will be smoking cigarettes 5 years from now?,DCW_710302.doc,enumerated,,,,,,,PhenX,PX710302030000,,,,,Definitely Yes,Probably Yes,Probably Not,Definitely Not,,,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarette_Curiosity,Have you ever been curious about smoking a cigarette?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302040000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarette_Try_Soon,Do you think that you will try a cigarette soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302050000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarette_Friend_Encoded,"If one of your best friends were to offer you a cigarette, would you smoke it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302060000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_ElectronicProduct_Curiosity,"Have you ever been curious about using an electronic nicotine product? (Electronic nicotine products include e-cigarettes, vape pens, hookah pens, personal vaporizers and mods, e-cigars, e-pipes, and e-hookahs.)",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302070000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_ElectronicProduct_Try_Soon,Do you think that you will try an electronic nicotine product soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302080000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_ElectronicProduct_Friend,"If one of your best friends were to offer you an electronic nicotine product, would you try it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302090000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigar_Curiosity,Have you ever been curious about smoking a traditional cigar?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302100000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigar_Try_Soon,Do you think that you will try a traditional cigar soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302110000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigar_Friend,"If one of your best friends were to offer you a traditional cigar, would you smoke it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302120000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarillo_Curiosity,Have you ever been curious about smoking a cigarillo?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302130000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarillo_Try_Soon,Do you think that you will try a cigarillo soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302140000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Cigarillo_Friend,"If one of your best friends were to offer you a cigarillo, would you smoke it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302150000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_FilteredCigar_Curiosity,Have you ever been curious about smoking a filtered cigar?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302160000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_FilteredCigar_Try_Soon,Do you think that you will try a filtered cigar soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302170000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_FilteredCigar_Friend,"If one of your best friends were to offer you a filtered cigar, would you smoke it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302180000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Pipe_Curiosity,Have you ever been curious about smoking a pipe filled with tobacco?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302190000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Pipe_Try_Soon,Do you think that you will try smoking a pipe filled with tobacco soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302200000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Pipe_Friend,"If one of your best friends were to offer you a pipe filled with tobacco, would you smoke it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302210000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Hookah_Curiosity,Have you ever been curious about smoking tobacco in a hookah?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302220000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Hookah_Try_Soon,Do you think that you will try smoking tobacco in a hookah soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302230000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Hookah_Friend,"If one of your best friends were to offer you a hookah, would you try it?",DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302240000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Smokeless_Curiosity,Have you ever been curious about using smokeless tobacco?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302250000,,,,,1 = Very curious,2 = Somewhat curious,3 = A little curious,4 = Not at all curious,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
PX710302_Susceptibility_Tobacco_Smokeless_Try_Soon,Do you think that you will try smokeless tobacco soon?,DCW_710302.doc,encoded values,,,,,,,PhenX,PX710302260000,,,,,1 = Definitely yes,2 = Probably yes,3 = Probably not,4 = Definitely not,(-8) = DON'T KNOW,(-7) = REFUSED,,,,,,,,,
