"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Total_Estimate","Population for whom poverty status is determined - Total - Estimate","DCW_290201.doc","integer","","","","","","","PhenX","PX290201010101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Total_Error","Population for whom poverty status is determined - Total - Margin of Error","DCW_290201.doc","integer","","","","","","","PhenX","PX290201010102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Below_Level_Estimate","Population for whom poverty status is determined - Below Poverty Level - Estimate","DCW_290201.doc","integer","","","","","","","PhenX","PX290201010201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Below_Level_Error","Population for whom poverty status is determined - Below Poverty Level - Margin of Error","DCW_290201.doc","integer","","","","","","","PhenX","PX290201010202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Percent_Below_Level_Estimate","Population for whom poverty status is determined - Percent Below Poverty Level - Estimate","DCW_290201.doc","decimal","","","","","","","PhenX","PX290201010301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Percent_Below_Level_Error","Population for whom poverty status is determined - Percent Below Poverty Level - Margin of Error","DCW_290201.doc","decimal","","","","","","","PhenX","PX290201010302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Age_Under_18_Years_Total_Estimate","Population for whom poverty status is determined - Age - Under 18 years - Total - Estimate","DCW_290201.doc","integer","","","","","","","PhenX","PX290201020101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Age_Under_18_Years_Total_Error","Population for whom poverty status is determined - Age - Under 18 years - Total - Margin of Error","DCW_290201.doc","integer","","","","","","","PhenX","PX290201020102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Age_Under_18_Years_Below_Level_Estimate","Population for whom poverty status is determined - Age - Under 18 years - Below Poverty Level - Estimate","DCW_290201.doc","integer","","","","","","","PhenX","PX290201020201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX290201_Concentrated_Poverty_Status_Past_Year_Population_Determined_Age_Under_18_Years_Below_Level_Error","Population for whom poverty status is determined - Age - Under 18 years - Below Poverty Level - Margin of Error","DCW_290201.doc","integer","","","","","","","PhenX","PX290201020202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
