VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Feeling_General,How have you been feeling in general?  (DURING THE PAST MONTH),DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701010000,,,,,1 = In excellent spirits,2 = In very good spirits,3 = In good spirits mostly,4 = I have been up and down in spirits a lot,5 = In low spirits mostly,6 = In very low spirits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Bothered_Nerves,Have you been bothered by nervousness or your “nerves”?  (DURING THE PAST MONTH),DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701020000,,,,,1 = Extremely so - to the point where I could not work or take care of things,2 = Very much so,3 = Quite a bit,4 = Some enough to bother me,5 = A little,6 = Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Control_Behavior_Feelings,"Have you been in firm control of your behavior, thoughts, emotions, or feelings?  (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701030000,,,,,"1 = Yes, definitely so","2 = Yes, for the most part",3 = Generally so,4 = Some - enough to bother me,5 = A little,6 = Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Felt_Sad_Problems,"Have you felt so sad, discourages, hopeless, or had so many problems that you wondered if anything was worthwhile? (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701040000,,,,,1 = Extremely so - to the point that I have just about given up,2 = Very much so,3 = Quite a bit,4 = Some - enough to bother me,5 = A little bit,6 = Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Stress_Pressure,"Have you been under or felt you were under any strain, stress, or pressure?  (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701050000,,,,,"1 = Yes, - almost more than I could bear or stand",2 = Yes - quite a bit of pressure,"3 = Yes - some, more than usual","4 = Yes - some, but about usual",5 = Yes - a little,6 = Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Happy_Personal_Life,"How happy, satisfied, or pleased have you been with your personal life?  (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701060000,,,,,1 = Extremely happy - could not have been more satisfied or pleased,2 = Very happy,3 = Fairly happy,4 = Satisfied - pleased,5 = Somewhat dissatisfied,6 = Very dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Losing_Mind,"Have you had any reason to wonder if you were losing your mind, or losing control over the way you act, talk, think, feel, or of your memory? (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701070000,,,,,1 = Not at all,2 = only a little,3 = Some - but not enough to be concerned or worried about,"4 = Some, and I have been a little concerned","5 = Some, and I am quite concerned","6 = Yes, very much so, and I am very concerned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Anxious_Worried_Upset,"Have you been anxious, worried, or upset?  (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701080000,,,,,1 = Extremely so,2 = Very much so,3 = Quite a bit,4 = Some - enough to bother me,5 = A litle bit,6 = Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Waking_Up_Fresh,Have you been waking up fresh and rested?  (DURING THE PAST MONTH),DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701090000,,,,,1 = Every day,2 = Most every day,3 = Fairly often,4 = Less than half the time,5 = Rarely,6 = None of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX630701_Bothered_Illness_HealthFears,"Have you been bothered by any illness, bodily disorder, pains, or fears about your health?  (DURING THE PAST MONTH)",DCW_630701.doc,Encoded Value,,,,,,,PhenX,PX630701100000,,,,,1 = All the time,2 = Most of the time,3 = A good bit of the tiem,4 = Some of the time,5 = A little of the time,6 = None of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
