"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX310301_Awareness_Pharmacogenomics_Side_Effect_Medication_Experience","Have you ever experienced a side effect of a medication?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301010000","","","","","Yes","No","No, but a family member has ","I do not know","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Side_Effect_Medication_Stopped","Have you ever stopped taking a medication because of the side effects of this medication?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301020000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Medication_Stopped_Did_Not_Work","Have you ever stopped taking a medication because you felt that it did not work?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301030000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Differences_Body_Response_Medication","Do you think that there could be differences between people in their body’s response to medication due to differences in their DNA?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301040000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Knowledge_Reduce_Side_Effects","Do you think that determining the differences in DNA that are associated with the effect of medication will help to reduce (future) side effects?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301050000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Knowledge_Improve_Treatment","Do you think that knowing the differences in DNA that are associated with the effect of medication will help improve (future) drug treatment?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301060000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Heard","Before you received this questionnaire, have you ever heard of the term \"pharmacogenetics\"?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301070000","","","","","Yes","No","","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Meaning","Before you received this questionnaire, did you know the meaning of \"pharmacogenetics\"?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301080000","","","","","Yes","No","","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Test","Have you ever had a pharmacogenetic test? In a pharmacogenetic test, your hereditary traits related to effect of a medication will be examined","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301090000","","","","","Yes","No ","No, but I have had another kind of DNA test","I do not know","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Test_Other_Person","Do you know someone who has had a pharmacogenetic test?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301100000","","","","","Yes","No ","No, but I know someone who has had another type of DNA-test","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Information_Future_Treatment","Suppose that your DNA is associated with the effects of your medication. Would you allow your doctor to use the information about your DNA in your future treatment?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301110000","","","","","Yes","No","I don’t know, I have never thought about this","I have been thinking about this, but do not know yet","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Test_Before_Prescription","Are you willing to have a DNA test before a certain medication is prescribed?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301120000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Pharmacogenomic_Information_Use_Treatment","Do you want your pharmacogenetic information to be used in your treatment with medicines?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301130000","","","","","Yes, during the whole treatment","Yes, but only during my (potential) pregnancy","No","No opinion, I don’t know","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Partake_Future_Research","Would you take part in future research related to pharmacogenetics?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301140000","","","","","Yes","No","I do not know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Partake_Future_Research_Reason_Decline","If not, or in doubt, what is the reason (multiple answers are correct)?","DCW_310301.doc","enumerated","","","","","ASK IF Q14=No OR Q14=\"I do not know\"","","PhenX","PX310301150100","","","","","I do not allow my DNA/genetic information to be used in research","I do not understand the benefit of genetic testing","I am worried about the consequences","I am not interested in pharmacogenetic research","Other","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_Partake_Future_Research_Reason_Decline_Other","If not, or in doubt, what is the reason (multiple answers are correct)? Otherwise, please describe","DCW_310301.doc","string","","","","","ASK IF Q15.1=Other","","PhenX","PX310301150200","","","","","","","","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Test_Knowledge","Would you like to learn more about DNA tests for pharmacogenetics?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301160000","","","","","Yes","No","I don’t know","","","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Test_Information_Source","Which method of getting information about DNA tests for pharmacogenetics do you prefer (multiple answers are correct)?","DCW_310301.doc","enumerated","","","","","","","PhenX","PX310301170100","","","","","Internet","Information leaflet","Advice from your pharmacist","Advice from your GP","Other","","","","","","",""
"PX310301_Awareness_Pharmacogenomics_DNA_Test_Information_Source_Other","Which method of getting information about DNA tests for pharmacogenetics do you prefer (multiple answers are correct)? Otherwise, please describe:","DCW_310301.doc","string","","","","","ASK IF Q17.1=Other","","PhenX","PX310301170200","","","","","","","","","","","","","","","",""
