VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Hemophilia,Do you have hemophilia?,DCW_190801.doc,encoded values,,,,,,,PhenX,PX190801010000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Chemotherapy,Have you received cancer chemotherapy in the past four weeks or do you anticipate such therapy in the next four weeks?,DCW_190801.doc,encoded values,,,,,,,PhenX,PX190801020000,,,,,1 = Yes,2 = No,7 = Refused,9 = Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Exclusion_Criteria,Please mark reason for exclusion,DCW_190801.doc,enumerated,,,,,,,PhenX,PX190801030000,,,,,Hemophilia,Received cancer chemotherapy in the last 4 weeks,None - proceed with Blood draw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Blood_Draw_Done,Was blood drawn?,DCW_190801.doc,enumerated,,,,,,,PhenX,PX190801040000,,,,,Yes,No - Record reason below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Blood_Draw_Sample,Was full amount obtained?,DCW_190801.doc,enumerated,,,,,,,PhenX,PX190801040100,,,,,Yes,No - Record reason below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Blood_Draw_Comments,"Record any comments about the blood draw, including any reasons for the tube not being drawn according to the protocol.",DCW_190801.doc,string,,,,,,,PhenX,PX190801040200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Sample_Comments,Record comments to describe the sample during processing:,DCW_190801.doc,string,,,,,,,PhenX,PX190801050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Alanine_Aminotransferase_Assay_Type,Record the type of assay used to perform the determination of alanine aminotransferase:,DCW_190801.doc,string,,,,,,,PhenX,PX190801060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Equipment_Make_Alanine_Aminotransferase_Assay,Make of the equipment used to perform the determination of alanine aminotransferase.,DCW_190801.doc,string,,,,,,,PhenX,PX190801070100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Equipment_Manufacturer_Alanine_Aminotransferase_Assay,Manufacturer of the equipment used to perform the determination of alanine aminotransferase.,DCW_190801.doc,string,,,,,,,PhenX,PX190801070200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Repeatability_Alanine_Aminotransferase_Assay,Repeatability of the assay for tissue alanine aminotransferase,DCW_190801.doc,decimal,percentage,,,,,,PhenX,PX190801080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Coefficient_Of_Variation_Alanine_Aminotransferase,Coefficient of variation for the assay for tissue transglutaminase antibody,DCW_190801.doc,decimal,,,,,,,PhenX,PX190801090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190801_Results_Of_Alanine_Aminotransferase_Assay,Results of alanine aminotransferase assay:,DCW_190801.doc,decimal,IU/L,,,,,,PhenX,PX190801100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
