"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX181104_Temperament_Adolescent_Concentrate_Homework","It is easy for me to really concentrate on homework problems.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104010000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Happy","I feel pretty happy most of the day. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104020000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Exciting_New_City","I think it would be exciting to move to a new city. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104030000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Warm_Breeze_Enjoy","I like to feel a warm breeze blowing on my face. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104040000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Mean_Language","If I'm mad at somebody, I tend to say things that I know will hurt their feelings.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104050000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Attention_Surroundings","I notice even little changes taking place around me, like lights getting brighter in a room.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104060000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Difficulty_Finishing","I have a hard time finishing things on time. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104070000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Shy_Opposite_Sex","I feel shy with kids of the opposite sex. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104080000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Angry_Violent","When I am angry, I throw or break things. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104090000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Difficulty_Patience","It's hard for me not to open presents before I’m supposed to. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104100000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Friends_Enjoy","My friends seem to enjoy themselves more than I do. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104110000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Attention_Detail","I tend to notice little changes that other people do not notice. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104120000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Angry_Physical_Violence","If I get really mad at someone, I might hit them. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104130000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Obedient","When someone tells me to stop doing something, it is easy for me to stop.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104140000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Shy_Meeting_People","I feel shy about meeting new people. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104150000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Enjoy_Listening_Birds","I enjoy listening to the birds sing. ","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104160000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Share_Private_Thoughts","I want to be able to share my private thoughts with someone else.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104170000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
"PX181104_Temperament_Adolescent_Fun_Before_Homework","I do something fun for a while before starting my homework, even when I’m not supposed to.","DCW_181104.doc","encoded values","","","","","","","PhenX","PX181104180000","","","","","1 = Almost always untrue of you","2 = Usually untrue of you","3 = Sometimes true, sometimes untrue of you","4 = Usually true of you","5 = Almost always true of you","","","","","","","","","","","","","","",""
