VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Frightened_Breathing,"When I feel frightened, it is hard to breathe.",DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802010000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Headaches_School,I get headaches when I am at school.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802020000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Strangers,I don�t like to be with people I don�t know well.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802030000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Scared_Home,I get scared if I sleep away from home.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802040000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Worry_Others,I worry about other people liking me.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802050000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Frightened_Pass_Out,"When I get frightened, I feel like passing out.",DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802060000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Nervous,I am nervous.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802070000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Follows_Parent,I follow my mother or father wherever they go.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802080000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Nervous_Others,People tell me that I look nervous,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802090000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121802_Anxiety_Disorders_Symptoms_Children_Self_Report_Nervous_Strangers,I feel nervous with people I don�t know well.,DCW_121802.doc,encoded values,,,,,,,PhenX,PX121802100000,,,,,0 = Not true or hardly ever true,1 = Somewhat true or sometimes true,2 = Very true or often true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
