VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES
PX101601_Male_Fertility_Status_Semen_Volume,Semen volume,DCW_101601.doc,numeric,ml,,,,,,PhenX,PX101601010000,,,,,
PX101601_Male_Fertility_Status_Total_Sperm_Count,Total sperm number,DCW_101601.doc,numeric,10^6 per ejaculate,,,,,,PhenX,PX101601020000,,,,,
PX101601_Male_Fertility_Status_Sperm_Concentration,Sperm concentration,DCW_101601.doc,numeric,10^6 per ml,,,,,,PhenX,PX101601030000,,,,,
PX101601_Male_Fertility_Status_Sperm_Total_Motility,Total motility (PR + NP),DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601040000,,,,,
PX101601_Male_Fertility_Status_Sperm_Progressive_Motility,Progressive motility (PR),DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601050000,,,,,
PX101601_Male_Fertility_Status_Sperm_Vitality,Vitality (live spermatozoa),DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601060000,,,,,
PX101601_Male_Fertility_Status_Sperm_Morphology,"Sperm morphology (normal forms, strict criteria)",DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601070000,,,,,
PX101601_Male_Fertility_Status_Sperm_Acidity,pH,DCW_101601.doc,numeric,,,,,,,PhenX,PX101601080000,,,,,
PX101601_Male_Fertility_Status_Peroxidase_Positive_Leukocytes,Peroxidase-positive leukocytes,DCW_101601.doc,numeric,10^6 per ml,,,,,,PhenX,PX101601090000,,,,,
PX101601_Male_Fertility_Status_Motile_Spermatozoa_MAR_Test,MAR test (motile spermatozoa with bound particles),DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601100000,,,,,
PX101601_Male_Fertility_Status_Motile_Spermatozoa_Immunobead_Test,Immunobead test (motile spermatozoa with bound beads,DCW_101601.doc,numeric,percent,,,,,,PhenX,PX101601110000,,,,,
PX101601_Male_Fertility_Status_Seminal_Zinc,Seminal zinc,DCW_101601.doc,numeric,mol/ejaculate,,,,,,PhenX,PX101601120000,,,,,
PX101601_Male_Fertility_Status_Seminal_Fructose,Seminal fructose,DCW_101601.doc,numeric,mol/ejaculate,,,,,,PhenX,PX101601130000,,,,,
PX101601_Male_Fertility_Status_Seminal_Neutral_Glucosidase,Seminal neutral glucosidase,DCW_101601.doc,numeric,mU/ejaculate,,,,,,PhenX,PX101601140000,,,,,
