VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Skin_Reaction,"If you spent an hour in the mid-day sun for the first time without sunscreen, which of these reactions best describes what would happen to your skin:",DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301010000,,,,,1 = A blistering sunburn,2 = A sunburn without blisters,3 = A mild sunburn that becomes a tan,4 = A tan with no sunburn,5 = No change in skin color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Blistering_Sunburn_Ever,Did you ever get a blistering sunburn?,DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301020100,,,,,1 = YES,2 = NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_First_Sunburn_Age_Exact,How old were you the first time you got a blistering sunburn?,DCW_061301.doc,integer,,,,,IN YEARS.,,PhenX,PX061301020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_First_Sunburn_Age_Exact_Coded,How old were you the first time you got a blistering sunburn?,DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301020201,,,,,98 = DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_First_Sunburn_Age_Estimate,About how old were you?,DCW_061301.doc,encoded values,,,,,IF DK EXACT AGE.,,PhenX,PX061301020300,,,,,01 = UNDER 5 YEARS OLD,02 = 5 - 14 YEARS OLD,03 = 15 - 24 YEARS OLD,04 = 25 - 39 YEARS OLD,05 = 40 - 64 YEARS OLD,06 = 65 YEARS OLD OR OLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Last_Sunburn_Age_Exact,How old were you the last time you got a blistering sunburn?,DCW_061301.doc,integer,,,,,IN YEARS.,,PhenX,PX061301020400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Last_Sunburn_Age_Exact_Coded,How old were you the last time you got a blistering sunburn?,DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301020401,,,,,98 = DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Last_Sunburn_Age_Estimate,About how old were you?,DCW_061301.doc,encoded values,,,,,IF DK EXACT AGE.,,PhenX,PX061301020500,,,,,01 = UNDER 5 YEARS OLD,02 = 5 - 14 YEARS OLD,03 = 15 - 24 YEARS OLD,04 = 25 - 39 YEARS OLD,05 = 40 - 64 YEARS OLD,06 = 65 YEARS OLD OR OLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Sunburn_Times_Exact,How many blistering sunburns have you gotten in your life?,DCW_061301.doc,integer,,,,,,,PhenX,PX061301020600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Sunburn_Times_Exact_Coded,How many blistering sunburns have you gotten in your life?,DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301020601,,,,,98 = DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Sunburn_Times_Estimate,About how many?,DCW_061301.doc,encoded values,,,,,IF DK EXACT NUMBER.,,PhenX,PX061301020700,,,,,1 = 1 OR 2,2 = 3 OR 4,3 = 5 - 9,4 = 10 - 19,5 = 20 OR MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_Skin_Rash_Ever,Did you ever get a skin rash from sun exposure?,DCW_061301.doc,encoded values,,,,,,,PhenX,PX061301030100,,,,,1 = YES,2 = NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX061301_First_Skin_Rash_Age_Exact,How old were you the first time you got a skin rash from sun exposure?,DCW_061301.doc,integer,,,,,IN YEARS.,,PhenX,PX061301030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
