VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX250501_Cognitive_Changes_Family_Memory_Status,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Has this improved, not much changed, or gotten worse?  Compared with [when we interviewed [him/her] in R’s LAST IW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Had this improved, not much changed, or gotten worse?",DCW_250501.doc,encoded values,,,,,,,PhenX,PX250501010000,,,,,1 = IMPROVED,2 = NOT MUCH CHANGED - GO TO Q4,3 = GOTTEN WORSE - GO TO Q3,4 = DOES NOT APPLY; R DOESN’T DO ACTIVITY - GO TO Q4,8 = DK - GO TO Q4,9 = RF - GO TO Q4
PX250501_Cognitive_Changes_Family_Memory_Improved,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Has this improved, not much changed, or gotten worse?  Compared with [when we interviewed [him/her] in R’s LAST IW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Is it much improved or a bit improved?",DCW_250501.doc,encoded values,,,,,ASK IF Q1 = 1,,PhenX,PX250501020000,,,,,1 = MUCH IMPROVED - GO TO Q4,2 = A BIT IMPROVED - GO TO Q4,8 = DK - GO TO Q4,9 = RF - GO TO Q4,,
PX250501_Cognitive_Changes_Family_Memory_Decreased,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Has this improved, not much changed, or gotten worse?  Compared with [when we interviewed [him/her] in R’s LAST IW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things about family and friends, such as occupations, birthdays, and addresses.  Is it much worse or a bit worse?",DCW_250501.doc,encoded values,,,,,ASK IF Q1 = 3,,PhenX,PX250501030000,,,,,4 = A BIT WORSE,5 = MUCH WORSE,8 = DK,9 = RF,,
PX250501_Cognitive_Changes_Recent_Events_Status,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things that have happened recently?  (Has this improved, not much changed, or gotten worse?)  Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things that had happened recently?  Had this improved, not much changed, or gotten worse?",DCW_250501.doc,encoded values,,,,,,,PhenX,PX250501040000,,,,,1 = IMPROVED,2 = NOT MUCH CHANGED - GO TO Q7,3 = GOTTEN WORSE- GO TO Q6,4 = DOES NOT APPLY; R DOESN’T DO ACTIVITY - GO TO Q7,8 = DK - GO TO Q7,9 = RF - GO TO Q7
PX250501_Cognitive_Changes_Recent_Events_Improved,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things that have happened recently?  (Has this improved, not much changed, or gotten worse?)  Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things that had happened recently?  Is it much improved or a bit improved?
",DCW_250501.doc,encoded values,,,,,ASK IF Q4 = 1,,PhenX,PX250501050000,,,,,1 = MUCH IMPROVED,2 = A BIT IMPROVED,8 = DK,9 = RF GO TO Q7,,
PX250501_Cognitive_Changes_Recent_Events_Decreased,"Compared with two years ago, how is R’s FIRST NAME at:  Remembering things that have happened recently?  (Has this improved, not much changed, or gotten worse?)  Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:  Remembering things that had happened recently?  Is it much worse or a bit worse?",DCW_250501.doc,encoded values,,,,,ASK IF Q4 = 3,,PhenX,PX250501060000,,,,,4 = A BIT WORSE,5 = MUCH WORSE,8 = DK,9 = RF,,
PX250501_Cognitive_Changes_Conversations_Status,"(Compared with two years ago, how is R’s FIRST NAME at:)  Recalling conversations a few days later?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Recalling conversations a few days later? Had this improved, not much changed, or gotten worse?",DCW_250501.doc,encoded values,,,,,,,PhenX,PX250501070000,,,,,1 = IMPROVED,2 = NOT MUCH CHANGED - GO TO Q10,3 = GOTTEN WORSE - GO TO Q9,4 = DOES NOT APPLY; R DOESN’T DO ACTIVITY - GO TO Q10,8 = DK - GO TO Q10,9 = RF - GO TO Q10
PX250501_Cognitive_Changes_Conversations_Improved,"(Compared with two years ago, how is R’s FIRST NAME at:)  Recalling conversations a few days later?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Recalling conversations a few days later?  Is it much improved or a bit improved?",DCW_250501.doc,encoded values,,,,,ASK IF Q7 = 1,,PhenX,PX250501080000,,,,,1 = MUCH IMPROVED,2 = A BIT IMPROVED,8 = DK,9 = RF - GO TO Q10,,
PX250501_Cognitive_Changes_Conversations_Decreased,"(Compared with two years ago, how is R’s FIRST NAME at:)  Recalling conversations a few days later?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Recalling conversations a few days later?   Is it much worse or a bit worse?",DCW_250501.doc,encoded values,,,,,ASK IF Q7 = 3,,PhenX,PX250501090000,,,,,4 = A BIT WORSE,5 = MUCH WORSE,8 = DK,9 = RF,,
PX250501_Cognitive_Changes_Address_Phone_Status,"(Compared with two years ago, how is R’s FIRST NAME at:)  Remembering [his/her] address and telephone number?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Remembering [his/her] address and telephone number?  Had this improved, not much changed, or gotten worse?",DCW_250501.doc,encoded values,,,,,,,PhenX,PX250501100000,,,,,1 = IMPROVED,2 = NOT MUCH CHANGED - GO TO Q13,3 = GOTTEN WORSE- GO TO Q12,4 = DOES NOT APPLY; R DOESN’T DO ACTIVITY - GO TO Q13,8 = DK - GO TO Q13,9 = RF - GO TO Q13
PX250501_Cognitive_Changes_Address_Phone_Improved,"(Compared with two years ago, how is R’s FIRST NAME at:)  Remembering [his/her] address and telephone number?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Remembering [his/her] address and telephone number? Is it much improved or a bit improved?",DCW_250501.doc,encoded values,,,,,ASK IF Q10 = 1,,PhenX,PX250501110000,,,,,1 = MUCH IMPROVED,2 = A BIT IMPROVED,8 = DK,9 = RF - GO TO Q13,,
PX250501_Cognitive_Changes_Address_Phone_Decreased,"(Compared with two years ago, how is R’s FIRST NAME at:)  Remembering [his/her] address and telephone number?  (Has this improved, not much changed, or gotten worse?)  (Compared with [when we interviewed [him/her] in R’s LAST INTERVIEW MONTH, YEAR/two years ago], how was R’s FIRST NAME at:)  Remembering [his/her] address and telephone number? Is it much worse or a bit worse?",DCW_250501.doc,encoded values,,,,,ASK IF Q10 = 3,,PhenX,PX250501120000,,,,,4 = A BIT WORSE,5 = MUCH WORSE,8 = DK,9 = RF,,
