VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX250101_Activities_Daily_Living_Bathing_Help,"Within the last month, did you need help from another person to bathe (wash and dry your whole body)?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101010100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Bathing_Difficulty,"Within the last month, have you had difficulty with bathing?",DCW_250101.doc,encoded values,,,,,ASK IF Q1a != 2 & Q1a != 3,,PhenX,PX250101010200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Grooming_Help,"Within the last month, did you need help from another person to do your grooming, like brushing your hair, brushing your teeth, or washing your face?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101020100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Grooming_Difficulty,"Within the last month, have you had difficulty with your personal grooming?",DCW_250101.doc,encoded values,,,,,ASK IF Q2a != 2 & Q2a != 3,,PhenX,PX250101020200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Dressing_Upper_Body_Help,"Within the last month, did you need help from another person to dress your upper body (i.e., above your waist), like putting on or buttoning a shirt (or blouse)?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101030100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Dressing_Upper_Body_Difficulty,"Within the last month, have you had difficulty dressing your upper body?",DCW_250101.doc,encoded values,,,,,ASK IF Q3a != 2 & Q3a != 3,,PhenX,PX250101030200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Dressing_Lower_Body_Help,"Within the last month, did you need help from another person to dress your lower body (i.e., below your waist), like putting on or buttoning your pants (or skirt) or putting on or tying your shoes?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101040100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Dressing_Lower_Body_Difficulty,"Within the last month, have you had difficulty dressing your lower body?",DCW_250101.doc,encoded values,,,,,ASK IF Q4a != 2 & Q4a != 3,,PhenX,PX250101040200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Feeding_Help,"Within the last month, did you need help from another person to feed yourself, like holding a fork, cutting food, or drinking from a glass?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101050100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Feeding_Difficulty,"Within the last month, have you had difficulty with feeding yourself?",DCW_250101.doc,encoded values,,,,,ASK IF Q5a != 2 & Q5a != 3,,PhenX,PX250101050200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Bathroom_Help,"Within the last month, did you need help from another person to use the toilet, including getting on and off the toilet? ",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101060100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Bathroom_Difficulty,"Within the last month, have you had difficulty with using the toilet?",DCW_250101.doc,encoded values,,,,,ASK IF Q6a != 2 & Q6a != 3,,PhenX,PX250101060200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Walking_Inside_Help,"Within the last month, did you need help from another person to walk around inside your home?",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101070100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Walking_Inside_Difficulty,"Within the last month, have you had difficulty with walking around inside your home?",DCW_250101.doc,encoded values,,,,,ASK IF Q7a != 2 & Q7a != 3,,PhenX,PX250101070200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
PX250101_Activities_Daily_Living_Chair_Sitting_Help,"Within the last month, did you need help from another person to get in and out of a chair? ",DCW_250101.doc,encoded values,,,,,,,PhenX,PX250101080100,,,,,1 = No help,2 = Help,3 = Unable to do,7 = REF,9 = Don't know
PX250101_Activities_Daily_Living_Chair_Sitting_Difficulty,"Within the last month, have you had difficulty getting in and out of a chair?",DCW_250101.doc,encoded values,,,,,ASK IF Q8a != 2 & Q8a != 3,,PhenX,PX250101080200,,,,,1 = Yes,2 = No,7 = REF,8 = Don't know,9 = NA
