VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Days_Someone_Smoke_Inside_Home,"Not counting decks, porches, or garages, during the past 7 days, that is,  since last [TODAY’S DAY OF WEEK], on how many days did someone other than you smoke tobacco inside your home while you were at home?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401010100,,,,,88 = None,77 = Don't know/Not Sure,99 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Days_Someone_Smoke_Inside_HomeDays,"Not counting decks, porches, or garages, during the past 7 days, that is,  since last [TODAY’S DAY OF WEEK], on how many days did someone other than you smoke tobacco inside your home while you were at home?",DCW_730401.doc,integer,,,,,,,PhenX,PX730401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Inside_Home_Smoking_Is,"Not counting decks, porches, or garages, inside your home, is smoking …?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401020000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Past7Days_Anyone_Smoked_Tobacco_InsideNotSupposeTo,"Not counting decks, porches, or garages, to your knowledge, during the past 7 days, that is, since last [TODAY’S DAY OF WEEK], has anyone, including yourself, smoked tobacco inside your home when he or she was not supposed to?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401030000,,,,,1 = Yes,2 = No,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Currently_Have_OneorMore_Job,Do you currently have one job or more than one job?,DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401040000,,,,,1 = One Job,2 = More than one job,7 = Don't know,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Most_Of_Time_DoYou_Work,"Most of the time, do you work…?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401050000,,,,,1 = Outdoors,2 = In a vehicle,3 = Indoors at home,"4 = Indoors in a place like an office building, retail store, restaurant or factory",96 = Somewhere else (specify),77 = Don't know/Not sure,99 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Workplace_Smoking_Indoor_Areas,"At your workplace, is smoking in indoor areas…?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401060000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Workplace_Smoking_Outdorr_Areas,"At your workplace, is smoking in outdoor areas…?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401070000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Workplace_Use_ChewingTobacco_Dip_Smokeless,"At your workplace, is the use of chewing tobacco, snuff, dip, or snus …?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401080000,,,,,1 = Always allowed,2 = Allowed only at some times or in some places,3 = Never allowed,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730401_Pas30Days_HasAnyone_UsedTobacco_Work_NotSupposeTO,"To your knowledge, during the past 30 = days, that is, since [DATE FILL], has anyone, including yourself, used tobacco products of any kind, including electronic cigarettes, at your work when he or she was not supposed to?",DCW_730401.doc,encoded values,,,,,,,PhenX,PX730401090000,,,,,1 = Yes,2 = No,7 = Don't know/Not sure,9 = Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
