"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX880401_Perimenopausal_Symptoms_Heart_Beating_Quickly_Strongly","Heart beating quickly or strongly","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401010000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Feel_Tense_Nervous","Feeling tense or nervous","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401020000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Difficulty_Sleeping","Difficulty in sleeping","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401030000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Excitable","Excitable","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401040000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Attacks_Panic","Attacks of panic","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401050000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Difficulty_Concentrating","Difficulty in concentrating","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401060000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Feel_Tired_Lack_Energy","Feeling tired or lacking in energy","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401070000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Loss_Interest","Loss of interest in most things","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401080000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Feel_Unhappy_Depressed","Feeling unhappy or depressed","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401090000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Crying_Spells","Crying spells","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401100000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Irritability","Irritability","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401110000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Feel_Dizzy_Faint","Feeling dizzy or faint","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401120000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Pressure_Tightness_Head_Body","Pressure or tightness in head or body","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401130000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Parts_Body_Feel_Numb_Tingling","Parts of body feel numb or tingling","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401140000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Headaches","Headaches","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401150000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Muscle_Joint_Pains","Muscle and joint pains","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401160000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Loss_Feeling_Hands_Feet","Loss of feeling in hands or feet","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401170000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Breathing_Difficulties","Breathing difficulties","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401180000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Hot_Flushes","Hot flushes","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401190000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Sweating_Night","Sweating at night","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401200000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
"PX880401_Perimenopausal_Symptoms_Loss_Interest_Sex","Loss of interest in sex","DCW_880401.doc","encoded values","","","","","","","PhenX","PX880401210000","","","","","0 = Not at all","1 = A little","2 = Quite a bit","3 = Extremely","","",""
