VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Satisfaction_Life,Are you basically satisfied with your life?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Activities,Have you dropped many of your activities and interests?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704020000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Feel_Empty,Do you feel that your life is empty?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704030000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Bored,Do you often get bored?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704040000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Good_Spirits,Are you in good spirits most of the time?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704050000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Afraid,Are you afraid that something bad is going to happen to you?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704060000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Happy,Do you feel happy most of the time?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704070000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Helpless,Do you often feel helpless?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704080000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Social_Life,"Do you prefer to stay at home, rather than going out and doing new things?",DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704090000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Memory_Problems,Do you feel you have more problems with memory than most?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704100000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Wonderful,Do you think it is wonderful to be alive now?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704110000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Worthless,Do you feel pretty worthless the way you are now?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704120000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Energy,Do you feel full of energy?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704130000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Hopeless,Do you feel that your situation is hopeless?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704140000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121704_Depressive_Symptoms_Geriatrics_Comparison,Do you think that most people are better off than you are?,DCW_121704.doc,enumerated,,,,,,,PhenX,PX121704150000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
