"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Sickle_Cell_Mental_Emotional_Health","People believe that someone with sickle cell pain is as mentally and emotionally healthy as the average person. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010100","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Patient_Fault_Pain","People believe that it is mostly the patient's fault when his/her pain does not get better. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010200","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Others_Sympathetic","People are sympathetic when they hear about my pain condition. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010300","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Pain_Medication_Excuse","People believe that sickle cell is used as an excuse to get pain medication. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010400","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Chronic_Pain_Suffering","People understand the suffering experienced by someone with chronic pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010500","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Pain_Embarrassment","I feel embarrassed to tell people that I cannot do something because of my pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010600","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Unable_Work","People think less of someone who is unable to work because of sickle cell. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010700","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Pain_Weakness","People believe that having sickle cell pain is a sign of weakness. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010800","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Regular_Pain_Medication_Drug_Addict","People think that someone taking prescription pain medication on a regular basis is a \"drug addict\". ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201010900","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_People_Mental_Emotional_Problems","When people hear that someone has sickle cell pain, they think that person is also likely to have mental or emotional problems. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201011000","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Physical_Cause","Most doctors believe that there is a real physical cause for sickle cell pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020100","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Exaggerate_Pain","Doctors think that people with sickle cell exaggerate their pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020200","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_More_Pain_Medication","Many doctors think that people with sickle cell pain want more pain medication than is necessary for their physical pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020300","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Pain_Emotional_Mental_Problem","Doctors think that sickle cell pain is mostly a mental or emotional problem. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020400","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Appropriate_Medication_Use","Most doctors think that people with sickle cell use pain medication appropriately. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020500","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Illness_Complaint_Frequency","Most doctors think that people with sickle cell complain about their illness about as much as people with other medical conditions.","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020600","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Physically_Active","Many doctors believe that people with sickle cell could be more physically active if they wanted. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020700","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Less_Emotionally_Stable","Many doctors think that people with sickle cell are less emotionally stable than people with other medical problems. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020800","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Drug_Addict_Stereotype","Many doctors think that people with sickle cell pain are \"drug addicts\". ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201020900","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Doctor_Prefer_Not_Treat_Sickle_Cell","Most doctors would prefer not to treat people with sickle cell disease. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201021000","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Family_Physical_Pain","My family understands that I have physical pain. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201030100","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Family_Less_Pain_Medication","My family thinks I need less pain medication than I take. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201030200","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
"PX870201_External_Stigma_Sickle_Cell_Disease_Family_Pain_Exaggeration","My family feels that I exaggerate how much I hurt in order to get out of doing things that I don't want to do. ","DCW_870201.doc","encoded values","","","","","","","PhenX","PX870201030300","","","","","5 = Strongly Agree","4 = Somewhat Agree","3 = Neutral","2 = Somewhat Disagree","1 = Strongly Disagree"
