VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,VARIABLE_TERM,ORDER,VALUES,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Limit_FoodInstake_Influence_WeightShape,"On how many of the past 28 days, have you been deliberately trying to limit the amount of food you eat to influence your shape or weight (whether or not you have succeeded)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104010000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_LongPeriods_Fasting_Influence_WeightShape,"On how many of the past 28 days, have you gone for long periods of time (8 waking hours or more) without eating anything at all in order to influence your shape or weight?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104020000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_DietaryRestrictions_Influence_WeightShape,"On how many of the past 28 days, have you tried to exclude from your diet any foods that you like in order to influence your shape or weight (whether or not you have succeeded)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104030000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_DietaryRules_Influence_WeightShape,"On how many of the past 28 days, have you tried to follow definite rules regarding your eating (for example, a calorie limit) in order to influence your shape or weight (whether or not you have succeeded)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104040000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_EmptyStomach_Influence_WeightShape,"On how many of the past 28 days, have you had a definite desire to have any empty stomach with the aim of influencing your shape or weight?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104050000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Desire_Flat_Stomach,"On how many of the past 28 days, have you had a definite desire to have a totally flat stomach?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104060000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_ThinkingFoodEating_Distraction,"On how many of the past 28 days, has thinking about food, eating, or calories made it very difficult to concentrate on things you are interested in (for example, working, following a conversation, or reading)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104070000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_ThinkingWeightShape_Distraction,"On how many of the past 28 days, has thinking about shape or weight made it very difficult to concentrate on things you are interested in (for example, working, following a conversation, or reading)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104080000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Fear_LosingControl_Eating,"On how many of the past 28 days, have you had a definite fear of losing control over eating?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104090000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Fear_GainWeight,"On how many of the past 28 days, have you had a definite fear that you might gain weight?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104100000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Felt_Fat,"On how many of the past 28 days, have you felt fat?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104110000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Desire_Lose_Weight,"On how many of the past 28 days, have you had a strong desire to lose weight?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104120000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_UnusualAmount,"Over the past four weeks (28 days), how many times have you eaten what other people would regard as an unusually large amount of food (given the circumstances)?",DCW_650104.doc,integer,,,,,,,PhenX,PX650104130000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_LossOfControl_Eating,"Over the past four weeks (28 days), on how many of these times did you have a sense of having lost control over your eating (at the time that you were eating)?",DCW_650104.doc,integer,,,,,skip logic,ASK IF Q13>0,PhenX,PX650104140000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_LossOfControl_Episodes,"Over the past four weeks (28 days), how many DAYS have such episodes of overeating occurred (i.e., you have eaten an unusually large amount of food and have had a sense of loss of control at the time)?",DCW_650104.doc,integer,,,,,,,PhenX,PX650104150000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Control_WeightShape_Vomit,"Over the past four weeks (28 days), how many times have you made yourself sick (vomit) as a means of controlling your shape or weight?",DCW_650104.doc,integer,,,,,,,PhenX,PX650104160000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Control_WeightShape_Laxatives,"Over the past four weeks (28 days), how many times have you taken laxatives as a means of controlling your shape or weight?",DCW_650104.doc,integer,,,,,,,PhenX,PX650104170000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Control_WeightShape_Exercise,"Over the past four weeks (28 days), how many times have you exercised in a “driven” or “compulsive” way as a means of controlling your weight, shape, or amount of fat, or to burn off calories?",DCW_650104.doc,integer,,,,,,,PhenX,PX650104180000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Eat_Secretly,"Over the past 28 days, on how many days have you eaten in secret (i.e., furtively)? Do not count episodes of binge eating",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104190000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Eat_Guilty,"On what proportion of the times that you have eaten have you felt guilty (felt that you’ve done wrong) because of its effect on your shape or weight? Do not count episodes of binge eating  ",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104200000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Others_Seeing_You_Eat,"Over the past 28 days, how concerned have you been about other people seeing you eat? Do not count episodes of binge eating",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104210000,,0 = No days,1 = 1-5 days,2 = 6-12 days,3 = 13-15 days,4 = 16-22 days,5 = 23-27 days,6 = every day,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_JudgeYourself_Influence_Weight,"Over the past 28 days, has your weight influenced how you think about (judge) yourself as a person?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104220000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_JudgeYourself_Influence_Shape,"Over the past 28 days, has your shape influenced how you think about (judge) yourself as a person?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104230000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Upset_Weigh_Yourself,"Over the past 28 days, how much would it have upset you if you had been asked to weigh yourself once a week (no more, or less, often) for the next four weeks?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104240000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Dissatisfaction_Weight,"Over the past 28 days, how dissatisfied have you been with your weight?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104250000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Dissatisfaction_Shape,"Over the past 28 days, how dissatisfied have you been with your shape?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104260000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Uncomfortable_Seeing_Body,"Over the past 28 days, how uncomfortable have you felt seeing your body (for example, seeing your shape in the mirror, in a shop window reflection, while undressing or taking a bath or shower)?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104270000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Uncomfortable_Others_Seeing_Body,"Over the past 28 days, how uncomfortable have you felt about others seeing your shape or figure (for example, in communal changing rooms, when swimming, or wearing tight clothes?",DCW_650104.doc,encoded values,,,,,,,PhenX,PX650104280000,,0 = Not at all,1,2 = Slightly,3,4 = Moderately,5,6 = Markedly,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Present_Weight,What is your weight at present? (please give your best estimate),DCW_650104.doc,decimal,kilograms,,,,,,PhenX,PX650104290000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Present_Height,What is your height? (Please give your best estimate),DCW_650104.doc,decimal,centimeters,,,,,,PhenX,PX650104300000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Gender,What is your sex?,DCW_650104.doc,enumerated,,,,,,,PhenX,PX650104310000,,Male,Female,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Female,If female: Over the past three-to-four months have you missed any menstrual periods?,DCW_650104.doc,enumerated,,,,,skip logic,ASK IF Q31=Female,PhenX,PX650104320000,,Yes,No,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Missed_Menstrual_Periods,"If so, how many?",DCW_650104.doc,integer,,,,,skip logic,ASK IF Q32=Yes,PhenX,PX650104330000,,,,,,,,,,,,,,,,,,
PX650104_PsychopathologyQuestionnaire_Pill,"Have you been taking the ""pill""?",DCW_650104.doc,enumerated,,,,,,,PhenX,PX650104340000,,Yes,No,,,,,,,,,,,,,,,  ,Protocol 651101 - proprietary. Check DCW for contact.,DCW_651101.doc,,,,,,,,PhenX,PX651101000000,,,,,,,,,,,,,,,,,,
