"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX310401_Genomics_Knowledge_Genes_DNA","Genes are made of DNA.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401010000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genes_Health","Genes affect health by influencing the proteins our bodies make.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401020000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genetic_Information_Genome","All of a person's genetic information is called his or her genome.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401030000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genes_Change_Seven_Years","A person's genes change completely every 7 years.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401040000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_DNA_Gene_Building_Blocks","The DNA in a gene is made of four building blocks (A, C, T, and G).","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401050000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Count","Everyone has about 20,000 to 25,000 genes.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401060000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Variant_Effects","Gene variants can have positive effects, harmful effects, or no effects on health.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401070000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genes_Affect_Health","Most gene variants will affect a person's health.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401080000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Harmful_Variant_Symptoms","Everyone who has a harmful gene variant will eventually have symptoms.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401090000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Variant_Degree_Effects","Some gene variants have a large effect in health, while others have a small effect.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401100000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Variant_Affect_Disorder","Some gene variants decrease the chance of developing a disorder.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401110000","","","","","1 = True","0 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Gene_Variant_Same_Symptoms","Two unrelated people with the same genetic variant will always have the same symptoms.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401120000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genetic_Disorders_Inherited","Genetic disorders are always inherited from a parent.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401130000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
"PX310401_Genomics_Knowledge_Genetic_Disorder_Single_Instance","If only one person in the family has a disorder, it can't be genetic.","DCW_310401.doc","encoded values","","","","","","","PhenX","PX310401140000","","","","","0 = True","1 = False","0 = Don't know/uncertain","","","","","","","","",""
