"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX310701_Organizational_Change_Invested","People who work here feel confident that the organization can get people invested in implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701010000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Implementing","People who work here are committed to implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701020000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Track_Progress","People who work here feel confident that they can keep track of progress in implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701030000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Implement","People who work here will do whatever it takes to implement this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701040000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Support_Adjust","People who work here feel confident that the organization can support people as they adjust to this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701050000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Want_Implement","People who work here want to implement this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701060000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Momentum_Implementing","People who work here feel confident that they can keep the momentum going in implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701070000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Handle_Challenges","People who work here feel confident that they can handle the challenges that might arise in implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701080000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Determined_Implement","People who work here are determined to implement this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701090000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Coordinate_Tasks","People who work here feel confident that they can coordinate tasks so that implementation goes smoothly.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701100000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Motivated_Implement","People who work here are motivated to implement this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701110000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
"PX310701_Organizational_Change_Manage_Politics","People who work here feel confident that they can manage the politics of implementing this change.","DCW_310701.doc","encoded values","","","","","","","PhenX","PX310701120000","","","","","1 = Disagree","2 = Somewhat disagree","3 = Neither agree nor disagree","4 = Somewhat agree","5 = Agree","","","","","","",""
