VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Used_Drugs,Have you used drugs other than those required for medical reasons?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204010000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_More_Than_One_Drug,Do you abuse more than one drug at a time?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204020000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Able_To_Stop_Using_Drugs,Are you always able to stop using drugs when you want to?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204030000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Blackouts_Flashbacks,Have you had “blackouts” or “flashbacks” as a result of drug use?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204040000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Feel_Guilty_About_Drug_Use,Do you feel very bad or guilty about your drug use?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204050000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Spouse_Complains_About_Drugs,Does your spouse (or parents) ever complain about your involvement with drugs?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204060000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Neglected_Family_Because_Of_Drugs,Have you neglected your family because of your use of drugs?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204070000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Illegal_Activities_To_Obtain_Drugs,Have you engaged in illegal activities in order to obtain drugs?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204080000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Experienced_Withdrawal_Symptoms,Have you ever experienced withdrawal symptoms (felt sick) when you stopped taking drugs?,DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204090000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX510204_Medical_Problems_From_Drug_Use,"Have you ever had medical problems as a result of your drug use (e.g., memory loss, hepatitis, convulsions, bleeding, etc.)?",DCW_510204.doc,enumerated,,,,,,,PhenX,PX510204100000,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
