VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240801_Pregnancy_History_More_Three_Weeks_Premature,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Delivery of a child more than 3 weeks before the expected due date",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010100,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Weight_Premature,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams)",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010200,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Spontaneous_Preterm_Delivery,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Spontaneous preterm delivery (<37 weeks)",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010300,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Preterm_Membrane_Rupture,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Early or preterm rupture of the membranes",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010400,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Preeclampsia,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Preeclampsia, eclampsia, toxemia, or pregnancy-induced hypertension",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010500,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Low_Amniotic_Fluid,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Induction of labor due to low amniotic fluid or poor fetal growth",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010600,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Stillbirth,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Stillbirth",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010700,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Birth_Defect,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Delivery of an infant with a birth defect",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010800,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Other_Complications,"Have any of your biological mother, sisters, half-sisters, or female first cousins ever had the following pregnancy complication? Other pregnancy complication, specify",DCW_240801.doc,enumerated,,,,,,,PhenX,PX240801010900,,,,,01 = Yes,02 = No,(-8) = Don't know,,,,,,,,,
PX240801_Pregnancy_History_Family_1_Relation,Family member #1: What is his or her family relation?,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020101,,,,,01 = Participant?s mother,02 = Participant?s sister or half-sister,"03 = Participant?s female first cousin, maternal","04 = Participant?s female first cousin, paternal",,,,,,,,
PX240801_Pregnancy_History_Family_1_Complication_1,Family member #1: Pregnancy complication #1,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020102,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_1_Complication_2,Family member #1: Pregnancy complication #2,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020103,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_1_Complication_3,Family member #1: Pregnancy complication #3,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020104,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_1_Complication_4,Family member #1: Pregnancy complication #4,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020105,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_1_Complication_5,Family member #1: Pregnancy complication #5,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020106,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_2_Relation,Family member #2: What is his or her family relation?,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020201,,,,,01 = Participant?s mother,02 = Participant?s sister or half-sister,"03 = Participant?s female first cousin, maternal","04 = Participant?s female first cousin, paternal",,,,,,,,
PX240801_Pregnancy_History_Family_2_Complication_1,Family member #2: Pregnancy complication #1,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020202,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_2_Complication_2,Family member #2: Pregnancy complication #2,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020203,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_2_Complication_3,Family member #2: Pregnancy complication #3,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020204,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_2_Complication_4,Family member #2: Pregnancy complication #4,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020205,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_2_Complication_5,Family member #2: Pregnancy complication #5,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020206,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_3_Relation,Family member #3: What is his or her family relation?,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020301,,,,,01 = Participant?s mother,02 = Participant?s sister or half-sister,"03 = Participant?s female first cousin, maternal","04 = Participant?s female first cousin, paternal",,,,,,,,
PX240801_Pregnancy_History_Family_3_Complication_1,Family member #3: Pregnancy complication #1,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020302,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_3_Complication_2,Family member #3: Pregnancy complication #2,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020303,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_3_Complication_3,Family member #3: Pregnancy complication #3,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020304,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_3_Complication_4,Family member #3: Pregnancy complication #4,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020305,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_3_Complication_5,Family member #3: Pregnancy complication #5,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020306,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_4_Relation,Family member #4: What is his or her family relation?,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020401,,,,,01 = Participant?s mother,02 = Participant?s sister or half-sister,"03 = Participant?s female first cousin, maternal","04 = Participant?s female first cousin, paternal",,,,,,,,
PX240801_Pregnancy_History_Family_4_Complication_1,Family member #4: Pregnancy complication #1,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020402,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_4_Complication_2,Family member #4: Pregnancy complication #2,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020403,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_4_Complication_3,Family member #4: Pregnancy complication #3,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020404,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_4_Complication_4,Family member #4: Pregnancy complication #4,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020405,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_4_Complication_5,Family member #4: Pregnancy complication #5,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020406,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_5_Relation,Family member #5: What is his or her family relation?,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020501,,,,,01 = Participant?s mother,02 = Participant?s sister or half-sister,"03 = Participant?s female first cousin, maternal","04 = Participant?s female first cousin, paternal",,,,,,,,
PX240801_Pregnancy_History_Family_5_Complication_1,Family member #5: Pregnancy complication #1,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020502,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_5_Complication_2,Family member #5: Pregnancy complication #2,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020503,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_5_Complication_3,Family member #5: Pregnancy complication #3,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020504,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_5_Complication_4,Family member #5: Pregnancy complication #4,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020505,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
PX240801_Pregnancy_History_Family_5_Complication_5,Family member #5: Pregnancy complication #5,DCW_240801.doc,encoded values,,,,,,,PhenX,PX240801020506,,,,,01 = Delivery of a child more than 3 weeks before the expected due date,02 = Delivery of a child weighing less than 5 lb 8 oz (or 2500 grams),03 = Spontaneous preterm delivery (<37 weeks),04 = Early or preterm rupture of the membranes,"05 = Preeclampsia, eclampsia, toxemia or pregnancy induced hypertension",06 = Induction of labor due to low amniotic fluid or poor fetal growth,07 = Stillbirth,08 = Delivery of an infant with a birth defect,09 = Other pregnancy complication (SPECIFY),,,
