VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX910802_Hemophilia_Specific_Functional_Ability_Adult_With_Armrests,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a char with armrests?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802010000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Without_Armrests,"In the previous month, did you have any difficulty, due to hemophilia, with rising from a chair without armrests?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802020000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Kneeling,"In the previous month, did you have any difficulty, due to hemophilia, with kneeling/squatting?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802030000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Bending_Forward,"In the previous month, did you have any difficulty, due to hemophilia, with bending forward?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802040000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Kneeling_Long_Period,"In the previous month, did you have any difficulty, due to hemophilia, with kneeling for a longer period of time?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802050000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Squatting_Long_Period,"In the previous month, did you have any difficulty, due to hemophilia, with squatting for a longer period of time?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802060000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Standing_Long Period,"In the previous month, did you have any difficulty, due to hemophilia, with standing for a longer period of time?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802070000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Walking_Short_Distance,"In the previous month, did you have any difficulty, due to hemophilia, with walking short distances (<1 km / 15 min)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802080000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Walking_Long_Distance,"In the previous month, did you have any difficulty, due to hemophilia, with walking long distances (>1 km / 15 min)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802090000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Walking_Soft_Surface,"In the previous month, did you have any difficulty, due to hemophilia, with walking on a soft surface (e.g., on the beach or through the woods?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802100000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Walking_Uneven_Surface,"In the previous month, did you have any difficulty, due to hemophilia, with walking on an uneven surface (e.g., cobblestones, high sidewalks)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802110000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Strolling,"In the previous month, did you have any difficulty, due to hemophilia, with strolling / (window-)shopping?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802120000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Climbing_Up_Stairs,"In the previous month, did you have any difficulty, due to hemophilia, with climbing up the stairs?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802130000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Climbing_Down_Stairs,"In the previous month, did you have any difficulty, due to hemophilia, with climbing down the stairs?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802140000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Running,"In the previous month, did you have any difficulty, due to hemophilia, with running (e.g., in order to catch the bus)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802150000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Jumping,"In the previous month, did you have any difficulty, due to hemophilia, with jumping?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802160000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Lifting_Heavy_Objects,"In the previous month, did you have any difficulty, due to hemophilia, with lifting heavy objects?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802170000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Carrying_Heavy_Objects_Arms,"In the previous month, did you have any difficulty, due to hemophilia, with carrying heavy objects in the arms?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802180000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Fine_Hand_Movements,"In the previous month, did you have any difficulty, due to hemophilia, with fine hand movements (e.g., closing buttons)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802190000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Reaching_Above_Head,"In the previous month, did you have any difficulty, due to hemophilia, with reaching above your head (to pick something up from a high shelf)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802200000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Riding_Bicycle,"In the previous month, did you have any difficulty, due to hemophilia, with riding a bicycle?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802210000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Entering_Leaving_Car,"In the previous month, did you have any difficulty, due to hemophilia, with getting in and out of a car?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802220000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
PX910802_Hemophilia_Specific_Functional_Ability_Adult_Public_Transportation,"In the previous month, did you have any difficulty, due to hemophilia, with using public transportation (bus, train, subway)?",DCW_910802.doc,encoded values,,,,,,,PhenX,PX910802230000,,,,,1 = impossible,2 = always,3 = mostly,4 = sometimes,5 = rarely,6 = never
