"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX930201_Covid19_Related_Social_Interactions_Before_Companionship","A typical week BEFORE the COVID-19 outbreak, how often do you feel that you lack companionship?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201010000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Companionship","A typical week AFTER the COVID-19 outbreak, how often do you feel that you lack companionship?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201020000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_Before_Feel_Left_Out","A typical week BEFORE the COVID-19 outbreak, how often do you feel left out?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201030000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Feel_Left_Out","A typical week AFTER the COVID-19 outbreak, how often do you feel left out?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201040000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_Before_Feel_Isolated","A typical week BEFORE the COVID-19 outbreak, how often do you feel isolated from others?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201050000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Feel_Isolated","A typical week AFTER the COVID-19 outbreak, how often do you feel isolated from others?","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201060000","","","","","Hardly ever","Some of the time","Often","","","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_Before_Content","A typical week BEFORE the COVID-19 outbreak, I am content with my friendships and relationships.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201070000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Content","A typical week AFTER the COVID-19 outbreak, I am content with my friendships and relationships.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201080000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_Before_Ask_Help","A typical week BEFORE the COVID-19 outbreak, I have enough people I feel comfortable asking for help at any time.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201090000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Ask_Help","A typical week AFTER the COVID-19 outbreak, I have enough people I feel comfortable asking for help at any time.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201100000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_Before_Satisfying","A typical week BEFORE the COVID-19 outbreak, My relationships are satisfying as I would want them to be.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201110000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
"PX930201_Covid19_Related_Social_Interactions_After_Satisfying","A typical week AFTER the COVID-19 outbreak, My relationships are satisfying as I would want them to be.","DCW_930201.doc","enumerated","","","","","","","PhenX","PX930201120000","","","","","Strongly disagree","Disagree","Neutral","Agree","Strongly agree","","","","","","","","","","","",""
