"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX171701_Pain_Body_Map_Chronic_Pain","If you do not have chronic pain check here","DCW_171701.doc","enumerated","","","","","","","PhenX","PX171701010000","","","","","Yes","","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Face","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Face","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701020000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Jaw","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt jaw","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701030000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Jaw","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt jaw","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701040000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Chest","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt chest/breast","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701050000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Chest","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt chest/breast","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701060000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Upper_Arm","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt upper arm","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701070000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Upper_Arm","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt upper arm","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701080000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Elbow","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt elbow","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701090000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Elbow","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt elbow","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701100000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Lower_Arm","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt lower arm","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701110000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Lower_Arm","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt lower arm","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701120000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Wrist","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt wrist/hand","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701130000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Wrist","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt wrist/hand","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701140000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Abdomen","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Abdomen","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701150000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Pelvis","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Pelvis","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701160000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Groin","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt groin","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701170000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Groin","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt groin","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701180000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Upper_Leg","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt upper leg","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701190000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_Upper_Leg","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt upper leg","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701200000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_knee","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt knee","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701210000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Left_knee","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Lt knee","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701220000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
"PX171701_Pain_Body_Map_Persistent_Recurrent_Right_Lower_Leg","Have you felt persistent or recurrent pain for the last 3 months or longer in the following place? Rt lower leg","DCW_171701.doc","enumerated","","","","","ASK IF \"If you do not have chronic pain check here\" != \"Yes\"","","PhenX","PX171701230000","","","","","Yes","No","","","","","","","","","","","","","","","","","","",""
