VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_First_Day_Last_Menstrual_Period,What is the first day of the last menstrual period (LMP)?,DCW_240902.doc,date,,,,,,,PhenX,PX240902010100,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Irregular_Menstrual_Period,"Was there a menstrual period that was not normal? (e.g., less flow than usual, irregular flow, history of irregular cycles, flow that did not occur when expected, etc.)",DCW_240902.doc,enumerated,,,,,,,PhenX,PX240902010200,,,,,Yes,No,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Length_Last_Menstrual_Period,What was the length of LMP?,DCW_240902.doc,string,,,,,,,PhenX,PX240902010300,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Regularity_Cycle,Describe the regularity of the cycle,DCW_240902.doc,string,,,,,,,PhenX,PX240902010400,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_First_Cycle_Discontinued_Contraception,Describe the first cycle following discontinuation of contraception?,DCW_240902.doc,string,,,,,,,PhenX,PX240902010500,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Last_Menstrual_Period_Date_Unknown_Ultrasound_Measurements_Earliest,"If LMP date is uncertain, what were the ultrasound measurements obtained at the earliest ultrasound examination?",DCW_240902.doc,string,,,,,,,PhenX,PX240902020100,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_LMP_Date_Unknown_Multiple_First_Trimester_Ultrasounds,"If more than one first trimester ultrasounds are available, is there an ultrasound with a crown rump length (CRL) equivalent to at least 7 weeks (or 10 mm)?",DCW_240902.doc,enumerated,,,,,,,PhenX,PX240902020200,,,,,Yes,No,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Last_Menstrual_Period_Date_Unknown_Crown_Rump_Length,"If the first dating ultrasound was conducted before 14 weeks 0 days, what was the measurement of the crown rump length (CRL) up to and including 84mm and on BPD above 84 mm?",DCW_240902.doc,string,,,,,,,PhenX,PX240902020300,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Last_Menstrual_Period_Date_Unknown_Multiple_Pregnancies,"For pregnancies of multiples, what is the measurement of the largest fetus?",DCW_240902.doc,string,,,,,,,PhenX,PX240902020400,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_LMP_Date_Known_Multiple_First_Trimester_Ultrasounds,"If LMP date is certain and menstrual cycles have been regular, and if more than one first trimester ultrasound is available, does the earliest ultrasound have a crown rump length (CRL) equivalent to at least 7 weeks (or 10 mm)?",DCW_240902.doc,enumerated,,,,,,,PhenX,PX240902030100,,,,,Yes,No,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Last_Menstrual_Period_Date_Known_Crown_Rump_Length,"If the first dating ultrasound was conducted before 14 weeks 0 days, what was the measurement of the crown rump length (CRL) up to and including 84mm and on BPD above 84 mm?",DCW_240902.doc,string,,,,,,,PhenX,PX240902030200,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Last_Menstrual_Period_Date_Known_Multiple_Pregnancies,"For pregnancies of multiples, what is the measurement of the largest fetus?",DCW_240902.doc,string,,,,,,,PhenX,PX240902030300,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_LMP_Date_Known_Ultrasound_Last_Menstrual_Period_Age,"If the ultrasound confirms the gestational age by LMP, what is the LMP-derived gestational age?",DCW_240902.doc,string,,,,,,,PhenX,PX240902030400,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Assisted_Technique_InVitro_Fertilization_Date_Transfer,"If the patient has undergone an assisted reproductive technique by in vitro fertilization to achieve pregnancy (standard IVF, IVF with donor egg, or IVF with ICSI), when was the date of transfer?",DCW_240902.doc,date,,,,,,,PhenX,PX240902040100,,,,,,,,,,,,,,,,
PX240902_Gestational_Age_Medical_Records_Assisted_Technique_InVitro_Fertilization_Embryo_Transfer_Age,"If the patient has undergone an assisted reproductive technique by in vitro fertilization to achieve pregnancy (standard IVF, IVF with donor egg, or IVF with ICSI), how old was the embryo at date of transfer?",DCW_240902.doc,integer,days,,,,,,PhenX,PX240902040200,,,,,,,,,,,,,,,,
