"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Patient_Fault","People believe that it is mostly the patient's fault when his/her pain does not get better.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202010000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Excuse_Medication","People believe that sickle cell is used as an excuse to get pain medication.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202020000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Think_Less_Unable_Work","People think less of someone who is unable to work because of sickle cell.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202030000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Sign_Weakness","People believe that having sickle cell pain is a sign of weakness.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202040000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Prescription_Drug_Addict","People think that someone taking prescription pain medication on a regular basis is a \"drug addict\".","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202050000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_People_Think_Mental_Emotional_Problem","When people hear that someone has sickle cell pain, they think that person is also likely to have mental or emotional problems.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202060000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Doctor_Think_Want_More_Medication_Than_Needed","Many doctors think that people with sickle cell pain want more pain medication than is necessary for their physical pain.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202070000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Doctor_Think_Mental_Emotional_Problem","Doctors think that sickle cell pain is mostly a mental or emotional problem.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202080000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Think_Need_Less_Medication","My family thinks I need less pain medication than I take.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202090000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
"PX870202_External_Stigma_Sickle_Cell_Disease_Family_Exaggerate_Pain","My family feels that I exaggerate how much I hurt in order to get out of doing things that I don't want to do.","DCW_870202.doc","encoded values","","","","","","","PhenX","PX870202100000","","","","","5 = Strongly Agree","4 = Somewhat Agree,3 = Neutral,2 = Somewhat Disagree,1 = Strongly Disagree"
