VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_HowHungry_Morning,How hungry are you usually in the morning?,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601010000,,,,,0 = Not at all,1 = A little,2 = Somewhat,3 = Moderately,4 = Very,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_WhenEat_FirstTime,When do you usually eat for the first time?,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601020000,,,,,0 = Before 9am,1 = 9:01 to 12pm,2 = 12:01 to 3pm,3 = 3:01 to 6pm,4 = 6:01 or later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_Cravings_After_Supper,"Do you have cravings or urges to eat snacks after supper, but before bedtime?",DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601030000,,,,,0 = Not at all,1 = A little,2 = Somewhat,3 = Very much so,4 = Extremely so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_Control_Eating_BetweenSupperBedtime,How much control do you have over your eating between supper and bedtime?,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601040000,,,,,0 = None at all,1 = A little,2 = Some,3 = Very Much,4 = Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_HowMuch_DailyIntake_AfterSuppertime,How much of your daily food intake do you consume after suppertime?,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601050000,,,,,0 = 0%,1 = 1-25% (up to a quarter),2 = 26-50% (about half),3 = 51-75% (more than half),4 = 76 - 100% (almost all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_Currently_Feeling_BlueDowninDumps,Are you currently feeling blue or down in the dumps?,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601060000,,,,,0 = Not at all,1 = A little,2 = Somewhat,3 = Very much so,4 = Exremely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_WhenFeelingBlue_MoodLower,"When you are feeling blue, is your mood lower in the:",DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601070100,,,,,0 = Early Morning,1 = Late Morning,2 = Early Afternoon,3 = Late Afternoon,4 = Evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_WhenFeelingBlue_MoodLower_Check,________ check here if your mood does not change during the day,DCW_230601.doc,enumerated,,,,,,,PhenX,PX230601070200,,,,,Check,No check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_HowOften_Trouble_GettingtoSleep,How often do you have trouble getting to sleep,DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601080000,,,,,0 = Never,1 = Sometimes,2 = About half of the time,3 = Usually,4 = Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX230601_NightEating_GetUpMiddleofNIght_HowOften,"Other than only to use the bathroom, how often do you get up at least once in the middle of the night?",DCW_230601.doc,encoded values,,,,,,,PhenX,PX230601090000,,,,,0 = Never,1 = Less than once a week,2 = About once a week,3 = More than once a week,4 = Every Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
