VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,
PX650501_OCD_EatingTraits_FoodPreoccupations_Categorize_Food,"Check all that apply: Categorizes all food into ""good"" or ""bad""",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501010000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_FoodPreoccupations_Fat_Content,Check all that apply: Thinks excessively about the fat content of food,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501020000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_FoodPreoccupations_Caloric_Content,Check all that apply: Thinks excessively about the caloric content of food,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501030000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_FoodPreoccupations_Sugar_Content,Check all that apply: Thinks excessively about the sugar content of food,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501040000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_FoodPreoccupations_Body_Changes,"Check all that apply: Fears that eating a certain type of food will lead to immediate body changes, e.g. eating fat will deposit fat to hips",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501050000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_Full_Plate,Check all that apply: Fear of eating from a full plate of food,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501060000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_Eating_AllFood,Check all that apply: Fear of eating all of the food that is on a plate of food,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501070000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_Consuming_Fluids,Check all that apply: Fear of consuming fluids,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501080000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_NotConsuming_Fluids,Check all that apply: Fear of not being able to consume fluids,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501090000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_Unable_ToEat,Check all that apply: Fear of being unable to eat,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501100000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_Unable_ToStop,Check all that apply: Fear of being unable to stop eating,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501110000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingPreoccupations_InFront_Others,Check all that apply: Fear of eating in front of other people (note: this can reflect fear that others will regard the subjects' eating negatively because they are so fat or this can also involve magical thinking such as absorbing calories that other people eat),DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501120000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_WeightPreoccupations_Fear_BeingFat,Check all that apply: Fear of being fat or overweight,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501130000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_WeightPreoccupations_Fear_Others,Check all that apply: Fear of weighing outside of a narrow range or preoccupation with a specific weight,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501140000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_ShapePreoccupations_Excessive_Concern,Check all that apply: Excessive concern with a specific body part or aspect of appearance,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501150000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_ShapePreoccupations_Fear_Others,Check all that apply: Fear of others thinking she is fat,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501160000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_ClothingPreoccupations_Excessive_Concern,"Check all that apply: Excessive concern with size of clothing, e.g. would not buy clothing that was not a size 3 even if it fit and looked good",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501170000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_ClothingPreoccupations_TypesOf_Clothing,"Check all that apply: Fear of wearing certain types of clothing, e.g. fear of wearing underwear",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501180000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_ClothingPreoccupations_Tight_Clothing,Check all that apply: Fear of wearing either tight or loose fitting clothing,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501190000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_Hoarding_Food_Preoccupations,Check all that apply: Hoarding food preoccupations,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501200000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_Exercise_Preoccupations,Check all that apply: Exercise preoccupations,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501210000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_Other_Preoccupations,Check all that apply: Other preoccupations,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501220000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_Specific_Rate,"Check all that apply: Need to consume food at a specific rate, e.g. can take a bite only every 2 minutes",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501230000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_Chew_Number,Check all that apply: Need to chew each mouthful of food a specific number of times,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501240000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_Cut_Size,Check all that apply: Need to cut each piece of food into a specific size,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501250000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_Color_Food,Check all that apply: Need to consume only certain colors or types of foods,DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501260000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_Avoid_Types,"Check all that apply: Need to avoid certain types of foods, e.g. fats, meats",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501270000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_ConsumeOrder_Food,"Check all that apply: Need to consume each food type completely and in a specific order, e.g. must eat all green beans before potatoes can be eaten",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501280000,,,,,Current,Worst,,,
PX650501_OCD_EatingTraits_EatingRituals_ConsumeOrder_Fluids,"Check all that apply: Need to consume fluids in a certain way or amount, e.g. need to drink 2 glasses of water before eating any meal",DCW_650501.doc,enumerated,,,,,,,PhenX,PX650501290000,,,,,Current,Worst,,,
