VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Upset_Because_Of_Unexpected,"In the last month, how often have you been upset because of something that happened unexpectedly?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801010000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Unable_To_Control_Important_Things,"In the last month, how often have you felt that you were unable to control the important things in your life?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801020000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Felt_Nervous_And_Stressed,"In the last month, how often have you felt nervous and ""stressed""?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801030000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Felt_Confident_To_Handle_Problems,"In the last month, how often have you felt confident about your ability to handle your personal problems?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801040000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Felt_Things_Going_Your_Way,"In the last month, how often have you felt that things were going your way?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801050000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Could_Not_Cope_With_AllThings,"In the last month, how often have you found that you could not cope with all the things that you had to do?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801060000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Able_To_Control_Irritations,"In the last month, how often have you been able to control irritations in your life?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801070000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Felt_On_Top_Of_Things,"In the last month, how often have you felt that you were on top of things?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801080000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Angered_By_Things_Outside_Control,"In the last month, how often have you been angered because of things that were outside of your control?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801090000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180801_Difficulties_Piling_Up,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",DCW_180801.doc,encoded values,,,,,,,PhenX,PX180801100000,,,,,0 = Never,1 = Almost Never,2 = Sometimes,3 = Fairly Often,4 = Very Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
