VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Anyone_Caring_For_Baby,Is anyone other than yourself caring for BABY on a regular basis? ,DCW_300302.doc,enumerated,,,,,,"If yes, go to question 3. If no, go to question 2. If no and mother is not employed or in school, go to question 10.",PhenX,PX300302010000,,,,,Yes,No,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Handling_Child_Care,How are you handing child care while you are (working/going to school)?,DCW_300302.doc,encoded values,,,,,ASK IF Q1=No,,PhenX,PX300302020100,,,,,1 = Work/study at home,2 = Take baby to work,3 = Other,,,,,,,,
PX300302_Child_Care_Quality_Younger_Handling_Child_Care_Other,"How are you handing child care while you are (working/going to school)? Other, specify",DCW_300302.doc,string,,,,,ASK IF Q2.1=3,Go to question 9,PhenX,PX300302020200,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Who,What arrangements do you have? Who? Arrangement 1,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030101,,,,,1 = Baby's father/mother's partner,2 = Baby's sibling under 18,3 = Another child under 18,4 = Baby's grandparent,5 = Other adult relative,6 = Friend or neighbor,7 = Unrelated adult(s),8 = Other,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Sibling_Age,What arrangements do you have? Who? Arrangement 1 - Baby's sibling under 18: age ,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030102,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Other_Child_Age,What arrangements do you have? Who? Arrangement 1 - Another child under 18: age,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030103,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Who_Other,"What arrangements do you have? Who? Arrangement 1 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.1.1=8,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030104,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Who,What arrangements do you have? Who? Arrangement 2,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030201,,,,,1 = Baby's father/mother's partner,2 = Baby's sibling under 18,3 = Another child under 18,4 = Baby's grandparent,5 = Other adult relative,6 = Friend or neighbor,7 = Unrelated adult(s),8 = Other,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Sibling_Age,What arrangements do you have? Who? Arrangement 2 - Baby's sibling under 18: age ,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030202,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Other_Child_Age,What arrangements do you have? Who? Arrangement 2 - Another child under 18: age,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030203,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Who_Other,"What arrangements do you have? Who? Arrangement 2 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.2.1=8,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030204,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Who,What arrangements do you have? Who? Arrangement 3,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030301,,,,,1 = Baby's father/mother's partner,2 = Baby's sibling under 18,3 = Another child under 18,4 = Baby's grandparent,5 = Other adult relative,6 = Friend or neighbor,7 = Unrelated adult(s),8 = Other,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Sibling_Age,What arrangements do you have? Who? Arrangement 3 - Baby's sibling under 18: age ,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030302,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Other_Child_Age,What arrangements do you have? Who? Arrangement 3 - Another child under 18: age,DCW_300302.doc,integer,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030303,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Who_Other,"What arrangements do you have? Who? Arrangement 3 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.3.1=8,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030304,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Where,What arrangements do you have? Where? Arrangement 1,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030401,,,,,1 = In baby's home,2 = In someone else's home,3 = In a child care center/nursery,4  = Other,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Where_Other,"What arrangements do you have? Where? Arrangement 1 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.4.1=4,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030402,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Where,What arrangements do you have? Where? Arrangement 2,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030501,,,,,1 = In baby's home,2 = In someone else's home,3 = In a child care center/nursery,4  = Other,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Where_Other,"What arrangements do you have? Where? Arrangement 2 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.5.1=4,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030502,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Where,What arrangements do you have? Where? Arrangement 3,DCW_300302.doc,encoded values,,,,,,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030601,,,,,1 = In baby's home,2 = In someone else's home,3 = In a child care center/nursery,4  = Other,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Where_Other,"What arrangements do you have? Where? Arrangement 3 - Other, specify",DCW_300302.doc,string,,,,,ASK IF Q3.6.1=4,"Get open ended answer, code 3 arrangements if necessary",PhenX,PX300302030602,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Number_Children,How many other children are cared for (with BABY/in BABY's group or classroom)? Arrangement 1,DCW_300302.doc,integer,,0,9,,,Ask for most “typical” situation in mother's opinion; include baby's siblings and children of caregiver.,PhenX,PX300302040100,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Number_Children,How many other children are cared for (with BABY/in BABY's group or classroom)? Arrangement 2,DCW_300302.doc,integer,,0,9,,,Ask for most “typical” situation in mother's opinion; include baby's siblings and children of caregiver.,PhenX,PX300302040200,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Number_Children,How many other children are cared for (with BABY/in BABY's group or classroom)? Arrangement 3,DCW_300302.doc,integer,,0,9,,,Ask for most “typical” situation in mother's opinion; include baby's siblings and children of caregiver.,PhenX,PX300302040300,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Number_Supervisors,How many people supervise the children? Arrangement 1,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302050100,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Number_Supervisors,How many people supervise the children? Arrangement 2,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302050200,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Number_Supervisors,How many people supervise the children? Arrangement 3,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302050300,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Number_Hours,How many hours a week is BABY cared for in this arrangement? Arrangement 1,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302060100,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Number_Hours,How many hours a week is BABY cared for in this arrangement? Arrangement 2,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302060200,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Number_Hours,How many hours a week is BABY cared for in this arrangement? Arrangement 3,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302060300,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Number_Days,How many days a week? Arrrangement 1,DCW_300302.doc,integer,,0,7,,,,PhenX,PX300302070100,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_2_Number_Days,How many days a week? Arrrangement 2,DCW_300302.doc,integer,,0,7,,,,PhenX,PX300302070200,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_3_Number_Days,How many days a week? Arrrangement 3,DCW_300302.doc,integer,,0,7,,,,PhenX,PX300302070300,,,,,,,,,,,,,,,
PX300302_Child_Care_Quality_Younger_Arrangement_1_Age_Months,How old in months was BABY when you started using this arrangement? Arrangement 1,DCW_300302.doc,integer,,0,9,,,,PhenX,PX300302080100,,,,,,,,,,,,,,,
