VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Express_Feelings,Expresses his/her feelings openly.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605010000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Right_Wrong,Does not seem to know �right� from �wrong.�,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605020000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Care_School_Work ,Is concerned about schoolwork.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605030000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Hurt,Does not care who he/she hurts to get what he/she wants.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605040000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Bad_Guilt,Feels bad or guilty when he/she has done something wrong.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605050000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Show_Emotions,Does not show emotions.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605060000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Punctual,Does not care about being on time.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605070000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Concerned_Others_Feelings,Is concerned about the feelings of others.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605080000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Trouble,Does not care if he/she is in trouble.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605090000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Feelings,Does not let feelings control him/her.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605100000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121605_Lack_Prosocial_Emotions_Children_Self_Report_Careless,Does not care about doing things well.,DCW_121605.doc,encoded values,,,,,,,PhenX,PX121605110000,,,,,0 = Not at all true,1 = Somewhat true,2 = Very true,3 = Definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
