VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_Brand_Cigarettes_30Days_MostOften,"The next questions are about the brand of cigarettes you smoke—the brand is the name that is on the pack. During the past 30 days, what brand of cigarettes did you smoke most often?",DCW_730702.doc,encoded values,,1,26,,,,PhenX,PX730702010100,,,,,1 = American Spirit,2 = Basic,3 = Benson & Hedges,4 = Camel,5 = Capri,6 = Carlton,7 = Doral,8 = GPC,9 = Kent,10 = Kool,11 = Liggett Select,12 = Marlboro,13 = Merit,14 = Misty,15 = Monarch,16 = More,17 = Newport,18 = Pall Mall,19 = Parliament,20 = Salem,21 = USA Gold,22 = Vantage,23 = Viceroy,24 = Virginia Slims,25 = Winston,26 = A brand Not on this list,Don't know/Refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_Brand_Cigarettes_30Days_MostOftenEnum,"The next questions are about the brand of cigarettes you smoke—the brand is the name that is on the pack. During the past 30 days, what brand of cigarettes did you smoke most often?",DCW_730702.doc,enumerated,,,,,,,PhenX,PX730702010200,,,,,Don't know/refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_ThinkAgain_Brand_Cigarettes_30Days_MostOften,"Please think again about the brand of cigarettes you smoke. During the past 30 days, what brand of cigarettes did you smoke most often?",DCW_730702.doc,encoded values,,1,33,,skip logic,Ask only if Q1 = 26,PhenX,PX730702020100,,,,,1 = Alpine,2 = Barclay,3 = Belair,4 = Best Value,5 = Bristol,6 = Bugler (roll-your-own) 7 = Cambridge,8 = Century,9 = Chesterfield,10 = Eve,11 = Harley Davidson,12 = Lark,13 = L&M,14 = Lucky Strike,15 = Magna,16 = Maverick,17 = Max,18 = Montclair,19 = Now,20 = Old Gold,21 = Players,22 = Private Label,23 = Pyramid,24 = Raleigh,25 = Richland,26 = Saratoga,27 = Satin,28 = State Express,29 = Sterling,30 = Tareyton,31 = Top (roll-your-own),32 = True,33 = A brand not on this list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_ThinkAgain_Brand_Cigarettes_30Days_MostOftenEnum,"Please think again about the brand of cigarettes you smoke. During the past 30 days, what brand of cigarettes did you smoke most often?",DCW_730702.doc,enumerated,,,,,skip logic,Ask only if Q1 = 26,PhenX,PX730702020200,,,,,Don't know/refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_MostOften_Brand_ThirtyDays,"Please type in the name of the brand of cigarettes you smoked most often during the past 30 days. If you’re not sure how to spell the brand, just make your best guess.",DCW_730702.doc,string,,,,,skip logic,ASK IF Q2=33,PhenX,PX730702030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_MostOften_Type_ThirtyDays_Menthol_Encoded,Were the cigarettes you smoked during the past 30 days menthol?,DCW_730702.doc,encoded values,,,,,skip logic,"ASK IF Q3=(BLANK, DON'T KNOW/REFUSED)",PhenX,PX730702040100,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_MostOften_Type_ThirtyDays_Menthol,Were the cigarettes you smoked during the past 30 days menthol?,DCW_730702.doc,enumerated,,,,,skip logic,"ASK IF Q3=(BLANK, DON'T KNOW/REFUSED)",PhenX,PX730702040200,,,,,Don't know/refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_MostOften_ThirtyDays_Length,"What length were the [INSERT BRAND NAME HERE FROM Q1] Marlboro cigarettes you smoked most often during the past 30 days? Were they shorts, regulars (also known as king-sized), or 100s?",DCW_730702.doc,encoded values,,,,,,,PhenX,PX730702050000,,,,,1 = Shorts,2 = Regulars or king-sized,3 = 100s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_ThirtyDays_Smoke_RollYourOwn_Cigarette_Encoded,"During the past 30 days, that is, since [DATEFILL], have you smoked part or all of a roll-your-own tobacco cigarette?",DCW_730702.doc,encoded values,,,,,,,PhenX,PX730702060100,,,,,1 = Yes,2 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX730702_ThirtyDays_Smoke_RollYourOwn_Cigarette,"During the past 30 days, that is, since [DATEFILL], have you smoked part or all of a roll-your-own tobacco cigarette?",DCW_730702.doc,enumerated,,,,,,,PhenX,PX730702060200,,,,,Don't know/refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
