VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_ScreenA_Date,Glucose screen (50g challenge) - Test A: date,DCW_241001.doc,date,,,,,,,PhenX,PX241001010101,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_ScreenA_Result,Glucose screen (50g challenge) - Test A: Result,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001010102,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_ScreenB_Date,Glucose screen (50g challenge) - Test B: date,DCW_241001.doc,date,,,,,,,PhenX,PX241001010201,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_ScreenB_Result,Glucose screen (50g challenge) - Test B: Result,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001010202,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Screen_Other,Glucose screen (50g challenge): Other,DCW_241001.doc,encoded values,,,,,,,PhenX,PX241001010300,,,,,01 = Not done,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Date,"Glucose tolerance testing (a3 (3-hr) GTT, 100g challenge): Date",DCW_241001.doc,date,,,,,,,PhenX,PX241001020100,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_A_Baseline,Fasting Blood Sugar (FBS) - Test A: a0,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020201,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_A_Hour_1,Fasting Blood Sugar (FBS) - Test A: a1 (1-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020202,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_A_Hour_2,Fasting Blood Sugar (FBS) - Test A: a2 (2-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020203,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_A_Hour_3,Fasting Blood Sugar (FBS) - Test A: a3 (3-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020204,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_B_Baseline,Fasting Blood Sugar (FBS) - Test B: b0,DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020205,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_B_Hour_1,Fasting Blood Sugar (FBS) - Test B: b1 (1-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020301,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_B_Hour_2,Fasting Blood Sugar (FBS) - Test B: b2 (2-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020302,,,,,,,,,,,,,,,,
PX241001_Gestational_Diabetes_Glucose_Tolerance_100g_Test_B_Hour_3,Fasting Blood Sugar (FBS) - Test B: b3 (3-hr),DCW_241001.doc,numeric,milligram per deciliter,,,,,,PhenX,PX241001020303,,,,,,,,,,,,,,,,
