VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18,How many people live in your household nowadays (including yourself and anyone who is away at school or as part of their work)? Adults (over 18 years),DCW_300401.doc,integer,,,,,,,PhenX,PX300401010101,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Young_Adults,How many people live in your household nowadays (including yourself and anyone who is away at school or as part of their work)? Young adults (16-18 years),DCW_300401.doc,integer,,,,,,,PhenX,PX300401010102,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Children,How many people live in your household nowadays (including yourself and anyone who is away at school or as part of their work)? Children (less than 16 years),DCW_300401.doc,integer,,,,,,,PhenX,PX300401010103,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Yourself,Do the adults over 18 include yourself?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010201,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Partner,Do the adults over 18 include your partner?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010202,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Parents,Do the adults over 18 include your parent(s)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010203,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Partner_Parents,Do the adults over 18 include your partner's parent(s)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010204,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Your_Children_Over_18,Do the adults over 18 include your children (aged over 18)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010205,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Partner_Children_Over_18,Do the adults over 18 include children of your partner (aged over 18)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010206,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Your_Other_Relations,Do the adults over 18 include other relation(s) of yourself?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010207,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Partner_Other_Relations,Do the adults over 18 include other relation(s) of your partner?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010208,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Friend,Do the adults over 18 include friend(s)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010209,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Lodger,Do the adults over 18 include lodger?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010210,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Other,Do the adults over 18 include other (please tick & describe)?,DCW_300401.doc,encoded values,,,,,ASK IF Q1.1>0 or Q1.2>0,,PhenX,PX300401010211,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Adults_Over_18_Other_Specify,Do the adults over 18 include other (please tick & describe)?,DCW_300401.doc,string,,,,,ASK IF Q1.2.12=1,,PhenX,PX300401010212,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Present_Marital_Status,What is your present marital status?,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401020101,,,,,1 = never married,2 = widowed,3 = divorced,4 = separated,5 = married (once only),6 = married for second time,7 = married for third time,,,,
PX300401_Child_Lifetime_Household_Composition_Married_Wedding_Date,"If married, what was the date of your most recent marriage?",DCW_300401.doc,date,,,,,ASK IF Q2.1.1=5 or Q2.1.1=6 or Q2.1.1=7,,PhenX,PX300401020102,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Father_Present,Is the present live-in father-figure the natural father of the study child?,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401030101,,,,,1 = Yes,2 = No,7 = No live-in father-figure,9 = Don't know,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Father_Stopping_Living_Together_Years,How old was the child when the natural father stopped living with the child? Years,DCW_300401.doc,integer,years,,,,ASK IF Q3.1.1=2 or Q3.1.1=7,,PhenX,PX300401030102,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Father_Stopping_Living_Together_Years,How old was the child when the natural father stopped living with the child? Months,DCW_300401.doc,integer,months,,,,ASK IF Q3.1.1=2 or Q3.1.1=7,,PhenX,PX300401030103,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Father_Visit_Frequency,How often does the natural father see the study child?,DCW_300401.doc,encoded values,,,,,ASK IF Q3.1.1=2 or Q3.1.1=7,,PhenX,PX300401030104,,,,,1 = not at all,2 = less than once a month,3 = about once a month,4 = about once a fortnight,5 = once or twice a week,6 = nearly every day,7 = child's father is dead,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Father_Financial_Support,Does he help support the child financially?,DCW_300401.doc,encoded values,,,,,ASK IF Q3.1.1=2 or Q3.1.1=7,,PhenX,PX300401030105,,,,,"1 = yes, on a regular basis","2 = yes, occasionally",3 = no,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Mother_Present,Is the present live-in mother figure the biological (natural) mother of the study child?,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401030201,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Mother_Stopping_Living_Together_Years,How old was the child when the natural mother stopped living with the child? Years,DCW_300401.doc,integer,years,,,,ASK IF Q3.2.1=No,,PhenX,PX300401030202,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Mother_Stopping_Living_Together_Years,How old was the child when the natural mother stopped living with the child? Months,DCW_300401.doc,integer,months,,,,ASK IF Q3.2.1=No,,PhenX,PX300401030203,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Mother_Visit_Frequency,How often does the natural mother see the study child?,DCW_300401.doc,encoded values,,,,,ASK IF Q3.2.1=No,,PhenX,PX300401030204,,,,,1 = not at all,2 = less than once a month,3 = about once a month,4 = about once a fortnight,5 = once or twice a week,6 = nearly every day,7 = child's father is dead,,,,
PX300401_Child_Lifetime_Household_Composition_Biological_Mother_Financial_Support,Does she help support the child financially?,DCW_300401.doc,encoded values,,,,,ASK IF Q3.2.1=No,,PhenX,PX300401030205,,,,,"1 = yes, on a regular basis","2 = yes, occasionally",3 = no,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Children_Natural_Parents,Please indicate how many of the children living with you have: you and your present partner as their natural parents ,DCW_300401.doc,integer,,,,,,,PhenX,PX300401040100,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Children_Natural_Mother_Only,Please indicate how many of the children living with you have: you as their natural mother (but their natural father is not present ),DCW_300401.doc,integer,,,,,,,PhenX,PX300401040200,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Children_Partner_Natural_Father,Please indicate how many of the children living with you have: your partner as the natural father (but you are not their natural mother ),DCW_300401.doc,integer,,,,,,,PhenX,PX300401040300,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Children_Neither_Natural_Parent,"Please indicate how many of the children living with you have: neither you nor your partner as natural parents (please describe whether you have adopted, fostered etc))",DCW_300401.doc,integer,,,,,,,PhenX,PX300401040400,,,,,,,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Other_Children_Partner,Are there other children of yourself or your partner who visit (whether to play or to stay)? children of my partner but not me,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401050100,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Other_Children,Are there other children of yourself or your partner who visit (whether to play or to stay)? children of myself but not my partner,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401050200,,,,,1 = Yes,2 = No,,,,,,,,,
PX300401_Child_Lifetime_Household_Composition_Other_Children_Both,Are there other children of yourself or your partner who visit (whether to play or to stay)? children of me and my partner,DCW_300401.doc,encoded values,,,,,,,PhenX,PX300401050300,,,,,1 = Yes,2 = No,,,,,,,,,
