VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,
PX540402_SubstanceUse_Friends_Cigarettes,How many of your friends would you estimate smoke cigarettes?,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010100,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Marijuana,"How many of your friends would you estimate smoke marijuana (pot, weed) or hashish?",DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010200,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Crack,How many of your friends would you estimate take “Crack” cocaine?,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010300,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Cocaine,How many of your friends would you estimate take cocaine powder?,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010400,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Alcohol,"How many of your friends would you estimate drink alcoholic beverages (liquor, beer, wine)?",DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010500,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Drunk_Week,How many of your friends would you estimate get drunk at least once a week?,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010600,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_Friends_Electronic_Cigarette,"How many of your friends would you estimate use an e-cigarette, e-pen, etc.?",DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402010700,,,,,1 = None,2 = A Few,3 = Some,4 = Most,5 = All,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Pack_PerDay1,How do you think your CLOSE FRIENDS feel (or would feel) about YOU smoking one or more packs of cigarettes per day,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020100,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Cigarettes_EveryDay,How do you think your CLOSE FRIENDS feel (or would feel) about YOU smoking cigarettes every day,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020200,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Smokeless_Tobacco,How do you think your CLOSE FRIENDS feel (or would feel) about YOU using smokeless tobacco occasionally,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020300,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Smokeless_Tobacco_Daily,How do you think your CLOSE FRIENDS feel (or would feel) about YOU using smokeless tobacco several times per day,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020400,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Marijuana_Once,How do you think your CLOSE FRIENDS feel (or would feel) about YOU trying marijuana once or twice smoking marijuana occasionally,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020500,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Marijuana_Occasionally,How do you think your CLOSE FRIENDS feel (or would feel) about YOU smoking marijuana occasionally,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020600,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Crack_Once,How do you think your CLOSE FRIENDS feel (or would feel) about YOU trying “crack” cocaine once or twice,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020700,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Crack_Occasionally,How do you think your CLOSE FRIENDS feel (or would feel) about YOU trying “crack” cocaine occasionally,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020800,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Cocaine_Once,How do you think your CLOSE FRIENDS feel (or would feel) about YOU trying cocaine powder once or twice,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402020900,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Cocaine_Occasionally,How do you think your CLOSE FRIENDS feel (or would feel) about YOU taking cocaine powder occasionally,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021000,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Alcohol_One_Daily,How do you think your CLOSE FRIENDS feel (or would feel) about YOU taking one or two drinks nearly every day,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021100,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Alcohol_Four_Daily,How do you think your CLOSE FRIENDS feel (or would feel) about YOU taking four or five drinks nearly every day,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021200,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Alcohol_FivePlus_Daily,How do you think your CLOSE FRIENDS feel (or would feel) about YOU having five or more drinks once or twice each weekend,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021300,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Driving_After_OneDrink,How do you think your CLOSE FRIENDS feel (or would feel) about YOU driving a car after having 1–2 drinks,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021400,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
PX540402_SubstanceUse_CloseFriends_Driving_After_FiveDrinks,How do you think your CLOSE FRIENDS feel (or would feel) about YOU driving a car after having 5 or more drinks,DCW_540402.doc,encoded values,,,,,,,PhenX,PX540402021500,,,,,1 = Not Disapprove,2 = Disapprove,3 = Strongly Disapprove,,,,,,,,,,,,
