VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240201_Flame_Retardants_Hemophilia,Do you have hemophilia or any bleeding disorder?,DCW_240201.doc,enumerated,,,,,,,PhenX,PX240201010000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Chemotherapy,Have you had cancer chemotherapy within the past 4 weeks?,DCW_240201.doc,enumerated,,,,,ASK IF Q1 = No,,PhenX,PX240201020000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Blood_Draw,Have you had any problems with a blood draw in the past?,DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201030000,,,,,,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Blood_Draw_Problems,What problems have you had with a blood draw in the past?,DCW_240201.doc,string,,,,,ASK IF Q3 = Yes,,PhenX,PX240201040000,,,,,,,,,,,,,,,,
PX240201_Flame_Retardants_Ingested_Date,When was the last time you had anything to eat or drink other than water? Date,DCW_240201.doc,date,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201050100,,,,,,,,,,,,,,,,
PX240201_Flame_Retardants_Ingested_Time,When was the last time you had anything to eat or drink other than water? Time,DCW_240201.doc,string,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201050200,,,,,,,,,,,,,,,,
PX240201_Flame_Retardants_Sweetener,"Have you had sweetener or milk added to a drink, such as coffee or tea, in the last 8 hours?",DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201060000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Alcohol,"Have you had alcohol such as beer, wine, or liquor in the last 8 hours?",DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201070000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Gum,"Have you chewed gum, or used breath mints, lozenges, cough drops, or other cough or cold remedies in the last 8 hours?",DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201080000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Antacid,"Have you used antacid, laxatives, or anti-diarrheal medications in the last 8 hours?",DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201090000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Dietary_Supplement,Have you taken a dietary supplement such as vitamins or minerals in the last 8 hours?,DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201100000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Diabetes,Has a doctor ever told you that you had diabetes?,DCW_240201.doc,enumerated,,,,,ASK IF Q1 & Q2 = No,,PhenX,PX240201110000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Insulin,Have you taken any insulin in the last 8 hours?,DCW_240201.doc,enumerated,,,,,ASK IF Q11 = Yes,,PhenX,PX240201120000,,,,,Yes,No,Don't know,Refused,,,,,,,,
PX240201_Flame_Retardants_Concentration,Serum Polybrominated Diphenyl Ether Concentration in Nanogram Per Gram Lipid Weight,DCW_240201.doc,numeric,,,,,,,PhenX,PX240201130000,,,,,,,,,,,,,,,,
