"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX940201_Medical_Condition_Prior_Outbreak","Prior to the COVID-19 outbreak, did you have a medical condition that could cause you to get very sick if you were to get COVID-19? (e.g., asthma, a breathing or lung problem, suppressed immune system, diabetes, high blood pressure, obesity, or some other significant health problem)","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201010100","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Medical_Condition_Prior_Outbreak_Specify","If yes, what was that?","DCW_940201.doc","string","","","","","ASK IF 'Prior to the COVID-19 outbreak, did you have a medical condition that could cause you to get very sick if you were to get COVID-19? (e.g., asthma, a breathing or lung problem, suppressed immune system, diabetes, high blood pressure, obesity, or some other significant health problem)' = 'Yes'","","PhenX","PX940201010101","","","","","","","","","","","","","","","","","","","","",""
"PX940201_Smoker_Vaper_Prior_Outbreak","During or in the few months prior to the COVID-19 outbreak, were you a smoker or vaper? [check all that apply]","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201020100","","","","","No","Yes, smoker","Yes, vaper","","","","","","","","","","","","","",""
"PX940201_Smoker_Vaper_Prior_Outbreak_Smoke_Amount","How much [do/did] you smoke?","DCW_940201.doc","enumerated","","","","","ASK IF 'During or in the few months prior to the COVID-19 outbreak, were you a smoker or vaper?' = 'Yes, smoker'","","PhenX","PX940201020200","","","","","A pack or more a day (a pack is 20 cigarettes)","Daily, 10-19 cigarettes","Daily, 4-9 cigarettes","Daily 1-3 cigarettes","Less than one cigarette per day","","","","","","","","","","","",""
"PX940201_Smoker_Vaper_Prior_Outbreak_Vape_Amount","How often did you vape?","DCW_940201.doc","enumerated","","","","","ASK IF 'During or in the few months prior to the COVID-19 outbreak, were you a smoker or vaper?' = 'Yes, vaper'","","PhenX","PX940201020300","","","","","More than once a day","Daily or almost every day","3-4 days a week","1-2 days a week","Less than that","","","","","","","","","","","",""
"PX940201_Pregnant_During_After_Outbreak","During or after the COVID-19 outbreak started, were you pregnant?","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201030000","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick","During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201040100","","","","","No","Yes","Not sure, I think someone I lived with might have had COVID-19","","","","","","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick_Who","Who was this? [check all that apply]","DCW_940201.doc","enumerated","","","","","ASK IF 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Yes' or 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Not sure, I think someone I lived with might have had COVID-19'","","PhenX","PX940201040201","","","","","Partner","Parent","Child","Sibling","Grandparent","Other family members (e.g. aunt, uncle, cousin)","Roommate","Other","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick_Who_Other","If other, please specify","DCW_940201.doc","string","","","","","ASK IF 'Who was this?' = 'Other'","","PhenX","PX940201040202","","","","","","","","","","","","","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick_Hospitalization","Were they (any of them) hospitalized for COVID-19?","DCW_940201.doc","enumerated","","","","","ASK IF 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Yes' or 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Not sure, I think someone I lived with might have had COVID-19'","","PhenX","PX940201040300","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick_Death","Did they (any of them) die because of COVID-19?","DCW_940201.doc","enumerated","","","","","ASK IF 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Yes' or 'During the COVID-19 outbreak, did you ever live with someone that was sick with COVID19?' = 'Not sure, I think someone I lived with might have had COVID-19'","","PhenX","PX940201040400","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Outbreak_Live_With_Someone_Sick_Death_Who","Who died? [check all that apply]","DCW_940201.doc","enumerated","","","","","ASK IF 'Did they (any of them) die because of COVID-19?' = 'Yes'","","PhenX","PX940201040500","","","","","Partner","Parent","Child","Sibling","Grandparent","Other family members (e.g. aunt, uncle, cousin)","Roommate","Other","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus","Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201050100","","","","","No","Yes","Not sure, I think someone in my family or a close friend might have had COVID-19","","","","","","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus_Who","Who was this? [check all that apply]","DCW_940201.doc","enumerated","","","","","ASK IF 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Yes' OR 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Not sure, I think someone in my family or a close friend might have had COVID-19'","","PhenX","PX940201050200","","","","","Partner","Parent","Child","Sibling","Grandparent","Other family members (e.g. aunt, uncle, cousin)","Close friend","Other","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus_Near_Two_Weeks_Before","Were you around (any of) them when they were sick or just before, in the 2 weeks before they got sick?","DCW_940201.doc","enumerated","","","","","ASK IF 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Yes' OR 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Not sure, I think someone in my family or a close friend might have had COVID-19'","","PhenX","PX940201050300","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus_Hospitalization","Were they (any of them) hospitalized for COVID-19?","DCW_940201.doc","enumerated","","","","","ASK IF 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Yes' OR 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Not sure, I think someone in my family or a close friend might have had COVID-19'","","PhenX","PX940201050400","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus_Death","Did they (any of them) die because of COVID-19?","DCW_940201.doc","enumerated","","","","","ASK IF 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Yes' OR 'Has anyone in your family who you did not live with or any of your close friends been diagnosed or been sick with COVID-19?' = 'Not sure, I think someone in my family or a close friend might have had COVID-19'","","PhenX","PX940201050500","","","","","No","Yes","","","","","","","","","","","","","","",""
"PX940201_Family_Friends_Sick_Coronavirus_Death_Who","Who died? [check all that apply]","DCW_940201.doc","enumerated","","","","","ASK IF 'Did they (any of them) die because of COVID-19?' = 'Yes'","","PhenX","PX940201050600","","","","","Partner","Parent","Child","Sibling","Grandparent","Other family members (e.g. aunt, uncle, cousin)","Close friend","Other","","","","","","","","",""
"PX940201_Interaction_Other_Regular_Sick","Has anyone (else) that you interact with regularly, by this we mean at least twice a week, been diagnosed or been sick with COVID-19?","DCW_940201.doc","enumerated","","","","","","","PhenX","PX940201060100","","","","","No","Yes","Not sure, I think someone I interacted with might have had COVID-19","","","","","","","","","","","","","",""
