VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Physical_Health,"Taking everything into consideration, during the past week how satisfied have you been with your physical health?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302010000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Mood,"Taking everything into consideration, during the past week how satisfied have you been with your mood?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302020000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Work,"Taking everything into consideration, during the past week how satisfied have you been with your work?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302030000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Household_Activities,"Taking everything into consideration, during the past week how satisfied have you been with your household activities?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302040000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Social_Relationships,"Taking everything into consideration, during the past week how satisfied have you been with your social relationships?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302050000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Family_Relationships,"Taking everything into consideration, during the past week how satisfied have you been with your family relationships?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302060000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Leisure_Time_Activities,"Taking everything into consideration, during the past week how satisfied have you been with your leisure time activities?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302070000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Ability_Function_Daily_Life,"Taking everything into consideration, during the past week how satisfied have you been with your ability to function in daily life?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302080000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Sexual_Drive,"Taking everything into consideration, during the past week how satisfied have you been with your sexual drive, interest and/or performance?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302090000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX180302_Quality_Of_Life_Enjoyment_And_Satisfaction_Adult_Economic_Status,"Taking everything into consideration, during the past week how satisfied have you been with your economic status?",DCW_180302.doc,encoded vlaues,,,,,,,PhenX,PX180302100000,,,,,1 = Very Poor,2 = Poor,3 = Fair,4 = Good,5 = Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
