"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX720902_Mother_And_Baby_Health_Last_Pregnancy_Occur","For your last pregnancy, did any of the following occur? Choose all that apply.","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902010000","","","","","1 = Preterm birth (birth of baby less than 37 weeks gestational age)","2 = Baby with low birth weight (less than 5 pounds 8 ounces)","3 = Baby with birth defects","4 = Placenta previa","5 = Placenta abruption","6 = Pre-eclampsia","7 = None of the above","(-8) = DON'T KNOW","(-9) = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Last_Pregnancy_Condition","During your most recent pregnancy, did a healthcare provider tell you that you had any of the following health conditions?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902020000","","","","","1 = Gestational diabetes (diabetes that started during this pregnancy)","2 = High blood pressure (that started during this pregnancy), pre-eclampsia, or eclampsia","3 = Depression","4 = Anxiety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Last_Pregnancy_Outcome","What was the outcome of your last pregnancy?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902030000","","","","","1 = Live birth","2 = Miscarriage","3 = Abortion","4 = Ectopic or tubal pregnancy","5 = Stillbirth","6 = None of the above","(-8) = DON'T KNOW","(-9) = REFUSED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_3_Months_Before_Pregnant_Cigarettes_Average_Day","In the 3 months before you got pregnant, how many cigarettes did you smoke on an average day?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902040000","","","","","1 = More than one pack (21 or more cigarettes)","2 = One-half to one pack (11 to 20 cigarettes)","3 = Less than half a pack (1 to 10 cigarettes)","4 = I didn't smoke then","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Last_3_Months_Pregnant_Cigarettes_Average_Day","In the last 3 months of your pregnancy, how many cigarettes did you smoke on an average day?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902050000","","","","","1 = More than one pack (21 or more cigarettes)","2 = One-half to one pack (11 to 20 cigarettes)","3 = Less than half a pack (1 to 10 cigarettes)","4 = I didn't smoke then","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Quit_Smoking_Around_Pregnancy","Did you quit smoking around the time of your most recent pregnancy? Check ONE answer.","DCW_720902.doc","enumerated","","","","","","","PhenX","PX720902060000","","","","","No","No, but I cut back","Yes, I quit before I found out I was pregnant","Yes, I quit when I found out I was pregnant","Yes, I quit later in my pregnancy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_3_Months_Before_Pregnant_E_Cig_Vape","During the 3 months before you got pregnant, on average, how often did you use e-cigarettes (“vapes”) or other electronic nicotine products?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902070000","","","","","1 = Everyday","2 = Some days","3 = I didn't use e-cigarettes or other electronic nicotine products then","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Last_3_Months_Pregnant_E_Cig_Vape","During the last 3 months of your pregnancy, how often did you use e-cigarettes (“vapes”) or other electronic nicotine products?","DCW_720902.doc","encoded values","","","","","","","PhenX","PX720902080000","","","","","1 = Everyday","2 = Some days","3 = I didn't use e-cigarettes or other electronic nicotine products then","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_After_Born_Hospital_Stay","After your baby was born, how long did he or she stay in the hospital?","DCW_720902.doc","enumerated","","","","","","","PhenX","PX720902090000","","","","","Less than 3 days","3 to 5 days","6 to 14 days","More than 14 days","My baby was not born in a hospital","My baby is still in the hospital","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX720902_Mother_And_Baby_Health_Newborn_Alive_Now","Is your baby alive now?","DCW_720902.doc","enumerated","","","","","","","PhenX","PX720902100000","","","","","No","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
