"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_1","Specify agent/s used","DCW_850401.doc","string","","","","","","","PhenX","PX850401010100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Total_Dose_1","Specify agent/s used: total dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401010200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Day_1","Specify agent/s used: on day","DCW_850401.doc","integer","","","","","","","PhenX","PX850401010300","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_2","Specify agent/s used","DCW_850401.doc","string","","","","","","","PhenX","PX850401020100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Total_Dose_2","Specify agent/s used: total dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401020200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Day_2","Specify agent/s used: on day","DCW_850401.doc","integer","","","","","","","PhenX","PX850401020300","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_3","Specify agent/s used","DCW_850401.doc","string","","","","","","","PhenX","PX850401030100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Total_Dose_3","Specify agent/s used: total dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401030200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Chemotherapy_Agent_Used_Day_3","Specify agent/s used: on day","DCW_850401.doc","integer","","","","","","","PhenX","PX850401030300","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Average_AUC_Agent_1","Average AUC: Agent","DCW_850401.doc","string","","","","","","","PhenX","PX850401050100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Average_AUC_1","Average AUC: AUC","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401050200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Average_AUC_Agent_2","Average AUC: Agent","DCW_850401.doc","string","","","","","","","PhenX","PX850401060100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Average_AUC_2","Average AUC: AUC","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401060200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Radiation_Source","Radiation: Source/Type","DCW_850401.doc","string","","","","","","","PhenX","PX850401070100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Radiation_Days","Radiation: Days of Radiation","DCW_850401.doc","integer","","","","","","","PhenX","PX850401070200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Radiation_Total_Dose","Radiation: Total Dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401070300","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Non_Chemotherapy_Conditioning_Agent","Non-chemotherapy conditioning: Agent","DCW_850401.doc","string","","","","","","","PhenX","PX850401080100","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Non_Chemotherapy_Conditioning_Dose","Non-chemotherapy conditioning: Dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401080200","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Non_Chemotherapy_Conditioning_Frequency","Non-chemotherapy conditioning: Frequency","DCW_850401.doc","integer","","","","","","","PhenX","PX850401080300","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Non_Chemotherapy_Conditioning_Total_Dose","Non-chemotherapy conditioning: Total Dose","DCW_850401.doc","decimal","","","","","","","PhenX","PX850401080400","","","","","","","","","","","","","","","","","",""
"PX850401_Sickle_Cell_Disease_Transplant_Conditioning_Regimen_Non_Chemotherapy_Conditioning_Day","Non-chemotherapy conditioning: Day","DCW_850401.doc","integer","","","","","","","PhenX","PX850401080500","","","","","","","","","","","","","","","","","",""
